mobile,sns,offline,membership
551.4,567.9,2122,0
258.4,230.4,2104,0
377.3,296.7,4632,0
584.3,452.3,3028,1
729.1,662.4,3068,1
457.6,391.7,2022,0
616.8,572.1,3075,0
685.8,669.2,3141,1
481.4,399.7,2904,0
603.5,579.8,2783,1
704.4,674.1,3256,1
759.7,649.1,3116,1
534.1,477.4,3394,1
397.5,158.4,2222,0
280.8,121.7,1895,0
498.5,439.4,3095,0
315.7,392.6,3014,0
645.2,436.3,3549,1
325.6,139.1,3006,0
447.7,264.2,2715,0
419.7,350.1,1322,0
710.9,509.6,2757,1
553.8,445,984,0
604.1,626.7,3981,1
573.3,575.9,3517,1
