animal_name,body_length_cm,weight_kg,body_size_score,num_legs,has_fur,has_feathers,has_scales,lays_eggs,is_warm_blooded,lives_in_water,can_fly,lifespan_years,top_speed_kmh,habitat,diet_type,animal_class
Lion,260,190.0,348.0,4,1,0,0,0,1,0,0,14.0,80.0,Grassland,Carnivore,Mammal
Moose,250,400.0,465.0,4,1,0,0,0,1,0,0,15.0,56.0,Forest,Herbivore,Mammal
Gray Wolf,150,40.0,159.0,4,1,0,0,0,1,0,0,8.0,50.0,Forest,Carnivore,Mammal
Red Fox,100,5.5,93.3,4,1,0,0,0,1,0,0,4.0,50.0,Forest,Omnivore,Mammal
Domestic Cat,46,4.5,44.1,4,1,0,0,0,1,0,0,15.0,48.0,Grassland,Carnivore,Mammal
Labrador Retriever,60,30.0,72.0,4,1,0,0,0,1,0,0,12.0,30.0,Grassland,Omnivore,Mammal
Human,170,70.0,195.0,2,0,0,0,0,1,0,0,72.0,28.0,Grassland,Omnivore,Mammal
Bottlenose Dolphin,250,250.0,375.0,0,0,0,0,0,1,1,0,40.0,30.0,Ocean,Carnivore,Mammal
House Mouse,9,0.02,8.11,4,1,0,0,0,1,0,0,1.5,13.0,Grassland,Omnivore,Mammal
Brown Rat,25,0.35,22.71,4,1,0,0,0,1,0,0,2.0,8.0,Wetland,Omnivore,Mammal
Giant Panda,150,100.0,195.0,4,1,0,0,0,1,0,0,20.0,32.0,Forest,Herbivore,Mammal
American Bison,300,700.0,690.0,4,1,0,0,0,1,0,0,20.0,57.0,Grassland,Herbivore,Mammal
Red Kangaroo,160,55.0,177.0,4,1,0,0,0,1,0,0,9.0,70.0,Grassland,Herbivore,Mammal
Cheetah,200,50.0,210.0,4,1,0,0,0,1,0,0,10.0,120.0,Grassland,Carnivore,Mammal
Grizzly Bear,200,250.0,330.0,4,1,0,0,0,1,0,0,25.0,56.0,Forest,Omnivore,Mammal
Dromedary Camel,230,600.0,567.0,4,1,0,0,0,1,0,0,40.0,65.0,Desert,Herbivore,Mammal
Giraffe,470,1000.0,1023.0,4,1,0,0,0,1,0,0,25.0,60.0,Grassland,Herbivore,Mammal
Common Chimpanzee,80,50.0,102.0,4,1,0,0,0,1,0,0,40.0,40.0,Forest,Omnivore,Mammal
Little Brown Bat,9,0.01,8.11,2,1,0,0,0,1,0,1,10.0,40.0,Forest,Carnivore,Mammal
Domestic Horse,240,500.0,516.0,4,1,0,0,0,1,0,0,25.0,70.0,Grassland,Herbivore,Mammal
Bald Eagle,80,5.0,75.0,2,0,1,0,1,1,0,1,20.0,70.0,Forest,Carnivore,Bird
Andean Condor,120,12.0,115.2,2,0,1,0,1,1,0,1,50.0,65.0,Mountain,Carnivore,Bird
Emperor Penguin,115,30.0,121.5,2,0,1,0,1,1,1,0,20.0,9.0,Arctic,Carnivore,Bird
House Sparrow,16,0.03,14.42,2,0,1,0,1,1,0,1,3.0,38.0,Grassland,Omnivore,Bird
Peregrine Falcon,45,1.0,41.1,2,0,1,0,1,1,0,1,15.0,320.0,Mountain,Carnivore,Bird
Mallard Duck,58,1.2,52.92,2,0,1,0,1,1,1,1,5.0,65.0,Wetland,Omnivore,Bird
Wild Turkey,110,8.0,103.8,2,0,1,0,1,1,0,1,3.0,40.0,Forest,Omnivore,Bird
