animal_name,animal_class
Polar Bear,Mammal
Snow Leopard,Mammal
Orca,Mammal
Platypus,Mammal
European Hedgehog,Mammal
Three-toed Sloth,Mammal
Snowy Owl,Bird
Greater Roadrunner,Bird
Wandering Albatross,Bird
Downy Woodpecker,Bird
Northern Cardinal,Bird
Turkey Vulture,Bird
Tuatara,Reptile
Cottonmouth,Reptile
Frilled Lizard,Reptile
Painted Turtle,Reptile
Slow Worm,Reptile
Texas Horned Lizard,Reptile
Electric Eel,Fish
Pufferfish,Fish
Great Hammerhead Shark,Fish
Flounder,Fish
Beluga Sturgeon,Fish
Deep-sea Anglerfish,Fish
Surinam Toad,Amphibian
Olm,Amphibian
Spotted Salamander,Amphibian
Natterjack Toad,Amphibian
Glass Frog,Amphibian
Japanese Giant Salamander,Amphibian
