note_id,wavelet_variance,wavelet_skewness,wavelet_curtosis,image_entropy,is_forged
5001,-4.8426,-4.9932,10.4052,-0.53104,1
5002,2.9742,8.96,-2.9024,-1.0379,0
5003,-5.4414,7.2363,0.10938,-7.5642,1
5004,1.941,0.46351,4.6472,1.0879,0
5005,1.9476,-4.7738,8.527,-1.8668,0
5006,-3.6012,-6.5389,10.5234,-0.48967,1
5007,-4.1409,3.4619,-0.47841,-3.8879,1
5008,0.17346,7.8695,0.26876,-3.7883,0
5009,-3.8894,-7.8322,9.8208,0.47498,1
5010,-1.6988,-7.1163,5.7902,0.16723,1
5011,-1.7479,-5.823,5.8699,1.212,1
5012,0.11592,3.2219,-3.4302,-2.8457,1
5013,4.0552,-2.4583,2.2806,1.0323,0
5014,1.7331,3.9544,-4.7412,-2.5017,1
5015,0.49665,5.527,1.7785,-0.47156,0
5016,2.1721,-0.73874,5.4672,-0.72371,0
5017,2.7213,7.05,-0.58808,0.41809,0
5018,1.9265,7.7557,-0.16823,-3.0771,0
5019,-3.73,-12.9723,12.9817,-2.684,1
5020,-2.4604,12.7302,0.91738,-7.6418,0
5021,2.5503,-4.9518,6.3729,-0.41596,0
5022,4.4069,10.9072,-4.5775,-4.4271,0
5023,3.7935,7.9853,-2.5477,-1.872,0
5024,-1.8348,11.0334,3.1863,-4.8888,0
5025,-3.3582,-7.2404,11.4419,-0.57113,1
5026,-3.5916,-6.2285,10.2389,-1.1543,1
5027,-2.2625,-0.099335,2.8127,0.48662,1
5028,-2.1802,3.3791,-1.2256,-2.6621,1
5029,3.7731,7.2073,-1.6814,-0.94742,0
5030,1.1317,3.9647,3.3979,0.84351,0
5031,2.5331,2.9135,-0.822,-0.12243,0
5032,0.16358,-3.3584,1.3749,1.3569,1
5033,4.7965,6.9859,-1.9967,-0.35001,0
5034,-4.2859,8.5234,3.1392,-0.91639,0
5035,2.5581,2.6218,1.8513,0.40257,0
5036,2.2546,8.0992,-0.24877,-3.2698,0
5037,-6.5773,6.8017,0.85483,-7.5344,1
5038,1.3419,-4.4221,8.09,-1.7349,0
5039,-1.3414,-2.0776,2.8093,0.60688,1
5040,-6.3364,9.2848,0.014275,-6.7844,1
5041,4.5645,-3.6275,2.8684,0.27714,0
5042,0.93611,8.6413,-1.6351,-1.3043,0
5043,-2.3675,-0.43663,1.692,-0.43018,1
5044,-0.24811,-0.17797,4.9068,0.15429,0
5045,4.1962,0.74493,0.83256,0.753,0
5046,-0.49948,1.7734,-2.2469,-0.68104,1
5047,-0.2062,9.2207,-3.7044,-6.8103,0
5048,-2.7908,-5.7133,5.953,0.45946,1
5049,-2.659,-1.6058,1.3647,0.16464,1
5050,2.9856,7.2673,-0.409,-2.2431,0
5051,2.8033,9.0862,-3.3668,-1.0224,0
5052,-0.40804,0.54214,-0.52725,0.6586,1
5053,0.20216,1.9182,-3.2828,-0.61768,1
5054,-1.4233,-0.98912,2.3586,0.39481,1
5055,-0.12196,8.8068,0.94566,-4.2267,0
5056,-4.2932,3.3419,0.77258,-0.99785,1
5057,-1.2792,2.1376,-0.47584,-1.3974,1
5058,3.9414,-3.2902,3.1674,1.0866,0
5059,2.9421,7.4101,-0.97709,-0.88406,0
5060,-2.0759,10.8223,2.6439,-4.837,0
5061,-6.7526,8.8172,-0.061983,-3.725,1
5062,3.6941,-3.9482,4.2625,1.1577,0
5063,-1.4275,11.8797,0.41613,-6.9978,0
5064,-2.121,-0.05588,1.949,1.353,1
5065,3.0934,-2.9177,2.2232,0.22283,0
5066,-3.551,1.8955,0.1865,-2.4409,1
5067,1.7317,-0.34765,4.1905,-0.99138,0
5068,4.1197,-2.7956,2.0707,0.67412,0
5069,2.9736,8.7944,-3.6359,-1.3754,0
5070,0.3798,0.7098,0.7572,-0.4444,0
5071,4.3365,-3.584,3.6884,0.74912,0
5072,3.82,10.9279,-4.0112,-5.0284,0
5073,-4.9447,3.3005,1.063,-1.444,1
5074,2.0421,1.2436,4.2171,0.90429,0
5075,1.4578,-0.08485,4.1785,0.59136,0
5076,3.7758,7.1783,-1.5195,0.40128,0
5077,-0.11716,0.60422,-0.38587,-0.059065,1
5078,1.5631,0.89599,-1.9702,0.65472,1
5079,-1.3274,9.498,2.4408,-5.2689,0
5080,2.3718,7.4908,0.015989,-1.7414,0
5081,-2.5419,-0.65804,2.6842,1.1952,1
5082,-2.286,-5.4484,5.8039,0.88231,1
5083,-0.56877,1.4174,-1.4252,-1.1246,1
5084,-3.3125,0.10139,0.55323,-0.2957,1
5085,3.3004,7.0811,-1.3258,0.22283,0
5086,-2.0441,1.2271,0.18564,-1.091,1
5087,1.602,6.1251,0.52924,0.47886,0
5088,2.4673,1.3926,1.7125,0.41421,0
5089,-0.49281,3.0605,-1.8356,-2.834,1
5090,0.33111,4.5731,2.057,-0.18967,0
5091,4.5691,-4.4552,3.1769,0.0042961,0
5092,1.5268,-5.5871,8.6564,-1.722,0
5093,-3.5713,-12.4922,14.8881,-0.47027,1
5094,0.11806,0.39108,-0.98223,0.42843,1
5095,4.3435,3.3295,0.83598,0.64955,0
5096,-3.2305,-7.2135,11.6433,-0.94613,1
5097,-1.5572,-9.8808,8.1088,-1.0806,1
5098,2.2634,-4.4862,3.6558,-0.61251,0
5099,0.50225,0.65388,-1.1793,0.39998,1
5100,0.12326,8.9848,-0.9351,-2.4332,0
