transaction_id,transaction_amount,transaction_hour,merchant_category,customer_age,account_tenure_days,avg_monthly_spending,estimated_card_limit,distance_from_home_km,is_foreign_transaction,num_transactions_last_24h,time_since_last_transaction_min,is_fraud
100387,15500.0,21,레스토랑,22.0,626,555000.0,1700000.0,30.5,0,2,20.7,0
100995,720700.0,6,전자기기,48.0,1459,487200.0,1614000.0,8.0,0,2,139.7,1
100152,24800.0,9,주유소,34.0,1614,333100.0,1085000.0,9.2,0,1,23.8,0
100652,45200.0,9,주유소,55.0,1881,150000.0,403000.0,1.2,0,1,273.6,0
100595,377900.0,1,여행/항공,36.0,853,100400.0,313000.0,55.8,0,6,302.1,1
100989,463300.0,8,여행/항공,32.0,2163,1154400.0,3194000.0,3.7,0,3,121.6,1
101095,3700.0,18,편의점,37.0,2847,,1108000.0,2.7,0,2,43.0,0
101140,129700.0,5,전자기기,49.0,1675,388800.0,1250000.0,1.9,0,1,64.0,0
100206,169100.0,17,온라인쇼핑,33.0,1995,130300.0,343000.0,11.8,0,5,35.3,0
100082,30500.0,2,주유소,43.0,2939,69100.0,300000.0,9.8,0,3,172.5,0
100275,415400.0,15,전자기기,42.0,1033,366700.0,999000.0,6.3,0,2,82.6,1
100791,8700.0,9,전자기기,24.0,670,202000.0,687000.0,9.5,0,2,148.1,0
100526,50800.0,21,생활용품,36.0,3933,239700.0,639000.0,1.2,0,1,47.3,0
100121,40700.0,2,생활용품,43.0,1485,285600.0,745000.0,10.1,1,2,160.3,0
100521,162100.0,0,전자기기,39.0,3055,450900.0,1242000.0,36.2,1,4,715.9,0
101017,72000.0,6,레스토랑,40.0,1274,384900.0,1053000.0,8.2,0,2,60.1,0
100947,21100.0,14,온라인쇼핑,73.0,3759,227300.0,693000.0,23.6,0,2,77.1,0
100921,8100.0,17,레스토랑,67.0,770,187500.0,503000.0,9.0,0,3,67.5,0
100480,9700.0,3,편의점,25.0,520,301000.0,884000.0,24.7,0,0,287.8,0
101125,35600.0,11,레스토랑,66.0,723,135000.0,344000.0,7.3,0,3,52.2,0
100976,22200.0,19,편의점,31.0,1031,73300.0,300000.0,7.4,0,3,239.8,0
100673,20100.0,4,편의점,54.0,1216,174500.0,412000.0,26.4,0,3,673.5,0
100202,29900.0,15,레스토랑,69.0,1578,820700.0,2612000.0,4.4,0,4,25.8,0
101005,79100.0,9,주유소,26.0,2823,329900.0,1006000.0,41.4,0,7,99.8,0
100798,77400.0,22,생활용품,44.0,3668,203400.0,562000.0,27.2,0,1,62.6,0
100402,55000.0,1,편의점,62.0,3415,131900.0,451000.0,19.0,0,2,82.4,0
100946,549200.0,17,전자기기,25.0,3115,124600.0,321000.0,15.9,0,3,63.4,1
100485,24000.0,17,생활용품,44.0,1668,482200.0,1325000.0,12.5,0,2,47.1,0
100535,70200.0,12,온라인쇼핑,51.0,1443,160100.0,413000.0,8.5,1,2,310.4,0
100203,140700.0,17,전자기기,46.0,1990,57200.0,300000.0,6.9,1,0,62.7,0
100155,230200.0,20,레스토랑,43.0,2448,195300.0,503000.0,1.7,0,3,58.4,0
100321,49600.0,19,생활용품,36.0,3592,271100.0,757000.0,16.9,1,2,89.2,0
100661,651200.0,7,전자기기,28.0,990,375000.0,1023000.0,9.8,0,2,75.6,1
100746,,17,온라인쇼핑,39.0,3407,186900.0,542000.0,4.5,0,2,50.2,0
100907,,11,생활용품,42.0,2942,288100.0,871000.0,2.8,0,3,577.3,0
100127,121100.0,7,온라인쇼핑,23.0,2633,343100.0,866000.0,18.7,0,2,19.2,0
100429,71100.0,6,생활용품,20.0,465,,744000.0,2.2,1,0,3.0,0
100134,40300.0,23,주유소,50.0,3206,268200.0,882000.0,16.8,0,1,91.8,0
100925,50900.0,18,편의점,32.0,2790,342500.0,1017000.0,13.8,0,2,52.3,0
100425,58300.0,14,온라인쇼핑,42.0,606,161600.0,438000.0,3534.8,1,0,1049.2,0
100268,64300.0,16,주유소,38.0,1761,161100.0,542000.0,31.2,0,1,60.0,0
100431,32600.0,18,레스토랑,23.0,1196,144400.0,377000.0,17.4,0,0,38.5,0
100050,315900.0,0,여행/항공,62.0,2487,555200.0,1682000.0,10.1,0,2,413.4,0
101030,30400.0,15,생활용품,37.0,1833,154200.0,465000.0,9.8,0,3,337.0,0
100832,8700.0,18,편의점,32.0,2496,830800.0,2791000.0,19.1,0,1,148.8,0
100956,606600.0,13,여행/항공,53.0,1111,513600.0,1712000.0,1.8,0,5,141.8,1
100326,17700.0,8,편의점,31.0,1218,261100.0,856000.0,37.8,0,0,20.9,0
100081,179400.0,14,온라인쇼핑,71.0,3288,135300.0,451000.0,12.1,0,3,103.7,0
100536,421900.0,12,전자기기,27.0,2088,386500.0,1239000.0,28.6,0,2,79.0,1
100160,72600.0,1,생활용품,62.0,3413,,392000.0,29.5,0,2,332.0,0
100554,62200.0,21,주유소,36.0,810,50000.0,300000.0,6.6,1,2,289.6,0
