emp_id,age,department,business_travel,distance_from_home,education_level,marital_status,monthly_income,num_companies_worked,overtime,total_working_years,years_at_company,job_satisfaction,environment_satisfaction,work_life_balance,performance_rating,attrition
10524,52,HR,Travel_Frequently,3.6,2,Single,5730.0,3,No,25.6,16.7,4.0,3,3.0,3,No
10603,49,R&D,Travel_Rarely,33.7,2,Divorced,5970.0,6,No,27.1,5.7,3.0,3,4.0,4,No
10527,56,Sales,Travel_Rarely,11.4,3,Married,7560.0,6,No,35.5,20.4,1.0,2,2.0,3,No
10032,29,Sales,Travel_Rarely,8.0,4,Married,4050.0,3,Yes,7.9,6.3,4.0,2,1.0,4,No
10617,29,R&D,Travel_Rarely,7.8,2,Divorced,2940.0,7,Yes,5.8,1.3,1.0,3,,3,Yes
10586,56,Sales,Travel_Rarely,16.0,4,Married,6810.0,5,No,30.8,17.8,2.0,3,3.0,3,No
10445,40,R&D,Travel_Rarely,2.0,2,Married,4870.0,3,No,16.5,14.0,4.0,3,3.0,3,No
10733,56,Sales,Travel_Rarely,8.3,1,Single,6530.0,2,Yes,22.9,13.5,2.0,3,1.0,3,No
10077,33,Sales,Travel_Rarely,15.2,3,Divorced,4100.0,2,No,13.7,10.6,3.0,4,4.0,4,No
10412,29,Sales,Travel_Frequently,1.8,4,Divorced,2840.0,3,Yes,7.7,5.4,1.0,1,1.0,4,Yes
10569,45,R&D,Travel_Frequently,11.7,4,Single,4720.0,2,Yes,15.5,13.9,4.0,2,3.0,4,No
10071,51,HR,Non-Travel,17.3,3,Married,6010.0,9,No,23.6,3.9,1.0,3,2.0,4,Yes
10676,49,Sales,Non-Travel,1.8,2,Married,6470.0,2,No,25.6,24.6,4.0,2,3.0,2,No
10102,27,Sales,Travel_Rarely,11.3,5,Single,3150.0,3,No,6.5,4.4,3.0,2,2.0,3,No
10895,49,Sales,Travel_Rarely,4.4,5,Married,6080.0,4,No,25.3,7.7,1.0,1,1.0,3,No
10926,57,R&D,Travel_Rarely,1.7,1,Married,7440.0,2,No,27.1,20.4,3.0,4,2.0,4,No
10630,34,Sales,Travel_Frequently,5.0,4,Divorced,3850.0,3,No,14.7,8.0,2.0,4,3.0,4,No
10300,20,R&D,Travel_Rarely,8.9,4,Single,2310.0,1,Yes,0.1,0.0,1.0,2,2.0,3,Yes
10925,29,R&D,Travel_Rarely,9.9,5,Divorced,3210.0,2,No,7.7,4.9,4.0,4,3.0,3,No
10425,36,Sales,Travel_Rarely,2.1,3,Single,3240.0,3,Yes,7.6,4.4,2.0,1,2.0,3,Yes
10097,29,Sales,Travel_Rarely,59.0,1,Divorced,3030.0,4,No,6.8,3.0,1.0,3,4.0,4,Yes
10901,20,Sales,Travel_Rarely,22.9,3,Married,2810.0,2,No,2.4,1.6,2.0,3,4.0,3,No
10261,51,HR,Travel_Rarely,18.2,3,Married,7230.0,3,No,29.0,16.8,,3,3.0,3,No
10351,41,Sales,Non-Travel,6.8,4,Single,3790.0,3,No,11.2,8.6,1.0,1,2.0,3,No
10529,56,Sales,Travel_Rarely,9.5,4,Single,,2,No,31.0,21.0,4.0,3,2.0,2,No
10695,23,HR,Travel_Rarely,18.0,1,Married,2410.0,2,No,3.2,2.5,1.0,3,4.0,3,No
10362,55,Sales,Travel_Rarely,21.1,5,Married,7340.0,4,Yes,32.4,15.4,1.0,3,2.0,3,No
