emp_id,attrition
90001,No
90002,No
90003,No
90004,No
90005,No
90006,No
90007,No
90008,Yes
90009,No
90010,No
90011,No
90012,No
90013,No
90014,No
90015,No
90016,Yes
90017,Yes
90018,No
90019,Yes
90020,Yes
90021,No
90022,No
90023,Yes
90024,Yes
90025,No
90026,Yes
90027,No
90028,No
90029,No
90030,Yes
90031,No
90032,Yes
90033,Yes
90034,Yes
90035,Yes
90036,No
90037,No
90038,Yes
90039,Yes
90040,No
90041,Yes
90042,No
90043,Yes
90044,No
90045,Yes
90046,No
90047,No
90048,No
90049,No
90050,No
90051,No
90052,No
90053,No
90054,No
90055,No
90056,No
90057,No
90058,No
90059,No
90060,No
90061,No
90062,No
90063,No
90064,Yes
90065,No
90066,No
90067,No
90068,Yes
90069,Yes
90070,Yes
90071,Yes
90072,Yes
90073,No
90074,No
90075,No
90076,No
90077,Yes
90078,No
90079,No
90080,Yes
90081,No
90082,No
90083,No
90084,No
90085,Yes
90086,Yes
90087,No
90088,Yes
90089,Yes
90090,Yes
90091,No
90092,No
90093,No
90094,No
90095,No
90096,No
90097,No
90098,No
90099,No
90100,No
