flight_id,month,day_of_week,dep_hour,airline,dep_airport,arr_airport,distance_km,weather_index,dep_congestion,arr_congestion,airline_reliability,is_rush_hour,is_weekend,is_peak_season,prev_delay_factor,is_delayed
10256,2,6,22,AAR,ICN,USN,377,0.5651,0.9,0.25,0.8,0,1,0,0.2428,1
10436,2,1,6,TWB,GMP,KWJ,258,0.2711,0.85,0.3,0.68,0,0,0,0.2679,0
11241,7,0,15,KAL,ICN,TAE,240,0.4853,0.9,0.35,0.85,0,0,1,0.0701,1
10725,10,4,16,KAL,KWJ,YNY,303,0.1575,0.3,0.2,0.85,0,0,0,0.2723,0
10654,10,3,18,JJA,GMP,TAE,228,0.2315,0.85,0.35,0.72,1,0,0,0.1283,0
10578,7,0,10,AAR,CJJ,KWJ,430,0.4157,0.3,0.3,0.8,0,0,1,0.2242,0
10993,3,3,9,KAL,GMP,CJU,453,0.1829,0.85,0.55,0.85,1,0,0,0.1373,0
11160,5,0,13,KAL,GMP,ICN,399,0.1279,0.85,0.9,0.85,0,0,0,0.2152,0
10249,10,5,15,TWB,CJU,CJJ,215,0.2479,0.55,0.3,0.68,0,1,0,0.5172,1
10835,11,4,7,AAR,ICN,KWJ,263,0.1839,0.9,0.3,0.8,1,0,0,0.0574,0
10383,12,4,10,KAL,ICN,CJU,467,0.5303,0.9,0.55,0.85,0,0,1,,1
10061,12,0,8,KAL,GMP,PUS,328,0.7736,0.85,0.6,0.85,1,0,1,0.4522,1
10224,3,5,15,AAR,CJJ,ICN,195,0.4214,0.3,0.9,0.8,0,1,0,0.166,0
11021,1,0,16,ESR,GMP,KWJ,258,0.5992,0.85,0.3,0.6,0,0,1,0.1101,1
10998,5,5,13,AAR,GMP,ICN,358,0.1694,0.85,0.9,0.8,0,1,0,0.5909,1
10369,1,2,8,KAL,GMP,TAE,228,0.3251,0.85,0.35,0.85,1,0,1,0.2675,1
11093,11,0,10,JJA,PUS,CJJ,250,0.2506,0.6,0.3,0.72,0,0,0,0.5267,0
10608,7,3,8,TWB,GMP,KWJ,258,8.465,0.85,0.3,0.68,1,0,1,0.3318,0
10773,1,4,18,AAR,PUS,TAE,443,0.7176,0.6,0.35,0.8,1,0,1,0.322,1
11006,12,2,14,TWB,GMP,ICN,241,0.4366,0.85,0.9,0.68,0,0,1,0.3204,0
10548,8,6,7,TWB,ICN,CJU,467,0.4614,0.9,0.55,0.68,1,1,1,0.2091,1
11200,8,0,21,KAL,CJU,GMP,453,0.4093,0.55,0.85,0.85,1,0,1,0.4052,1
