flight_id,is_delayed
990001,1
990002,1
990003,0
990004,0
990005,1
990006,0
990007,1
990008,0
990009,1
990010,1
990011,0
990012,0
990013,1
990014,0
990015,1
990016,0
990017,0
990018,1
990019,1
990020,0
990021,1
990022,0
990023,1
990024,0
990025,0
990026,0
990027,0
990028,1
990029,0
990030,0
990031,1
990032,0
990033,0
990034,1
990035,1
990036,1
990037,0
990038,0
990039,0
990040,1
990041,0
990042,1
990043,0
990044,1
990045,0
990046,1
990047,1
990048,0
990049,1
990050,0
990051,1
990052,1
990053,0
990054,0
990055,1
990056,1
990057,0
990058,0
990059,0
990060,0
990061,0
990062,1
990063,1
990064,1
990065,0
990066,0
990067,1
990068,1
990069,1
990070,1
990071,0
990072,1
990073,1
990074,0
990075,0
990076,0
990077,1
990078,1
990079,0
990080,0
990081,0
990082,1
990083,1
990084,0
990085,1
990086,1
990087,1
990088,1
990089,0
990090,0
990091,1
990092,1
990093,1
990094,0
990095,0
990096,1
990097,0
990098,0
990099,1
990100,1
