applicant_id,age,annual_income,employment_years,credit_score,home_ownership,loan_purpose,loan_amount,loan_term_months,interest_rate,debt_to_income_ratio,loan_to_income_ratio,num_credit_lines,previous_defaults,is_default
200945,63,72110000.0,10.6,655.0,MORTGAGE,사업자금,17970000.0,48,10.77,0.248,0.249,8,1,0
200974,39,23760000.0,8.9,,RENT,의료비,13530000.0,60,12.77,0.497,0.569,6,0,1
200151,62,42900000.0,9.2,657.0,MORTGAGE,부채통합,9130000.0,24,12.58,0.105,0.213,5,0,0
200124,52,58640000.0,12.7,676.0,OWN,주택개선,1240000.0,36,10.63,0.229,0.021,3,0,0
200264,49,64880000.0,6.8,718.0,RENT,주택개선,7920000.0,12,11.56,0.354,0.122,2,0,0
200199,65,,9.7,844.0,RENT,자동차구입,5230000.0,36,6.63,0.2,0.047,10,0,0
200613,29,69200000.0,1.2,517.0,MORTGAGE,기타,14670000.0,36,16.7,0.255,0.212,5,1,1
200328,27,116480000.0,6.3,709.0,OWN,교육,12700000.0,36,12.19,0.245,0.109,3,0,0
200543,63,28040000.0,4.3,488.0,RENT,부채통합,10180000.0,36,17.7,0.448,0.363,7,0,1
200693,35,51630000.0,4.6,594.0,OWN,부채통합,8930000.0,48,14.62,0.109,0.173,7,0,0
200062,45,51420000.0,4.3,727.0,MORTGAGE,사업자금,19600000.0,60,11.97,0.414,0.381,9,0,1
200098,46,32230000.0,11.6,648.0,RENT,사업자금,5040000.0,36,12.9,0.214,0.156,6,0,0
201127,29,50520000.0,0.0,577.0,RENT,사업자금,16060000.0,24,13.62,0.322,0.318,8,1,1
200120,50,37520000.0,9.5,506.0,RENT,주택개선,7510000.0,48,15.69,0.298,0.2,5,2,1
200967,49,33690000.0,9.8,700.0,RENT,교육,5450000.0,36,11.12,0.254,0.162,5,0,0
200620,62,33230000.0,6.7,602.0,RENT,교육,21580000.0,12,15.19,0.509,0.649,3,0,1
200073,56,68390000.0,6.1,648.0,RENT,사업자금,22280000.0,36,13.31,0.341,0.326,5,0,0
200767,69,43840000.0,11.4,747.0,MORTGAGE,부채통합,1800000.0,48,10.92,0.209,0.041,5,0,0
200472,23,39090000.0,15.8,,RENT,기타,9880000.0,60,15.06,0.268,0.253,7,0,0
200762,23,31620000.0,14.2,825.0,OWN,의료비,4910000.0,24,7.23,0.283,0.155,5,0,0
200211,54,30260000.0,0.0,724.0,RENT,부채통합,30770000.0,12,11.88,0.558,1.017,5,0,0
200941,65,89930000.0,15.9,466.0,MORTGAGE,부채통합,1000000.0,36,18.28,0.136,0.011,2,0,0
200174,49,58910000.0,8.5,709.0,RENT,기타,14470000.0,48,11.82,0.147,0.246,2,0,0
200202,68,43930000.0,6.0,698.0,MORTGAGE,자동차구입,4650000.0,12,9.96,0.072,0.106,4,1,0
200640,58,38830000.0,4.3,622.0,RENT,자동차구입,191440000.0,12,14.77,0.384,0.497,3,0,1
200637,60,,11.1,561.0,RENT,의료비,5180000.0,36,15.22,0.238,0.128,3,1,1
200598,59,,9.2,637.0,RENT,부채통합,14520000.0,24,12.92,0.337,0.415,7,1,0
200424,37,60140000.0,12.2,595.0,MORTGAGE,사업자금,20250000.0,48,13.76,0.27,0.337,7,0,0
200540,61,60180000.0,10.9,534.0,MORTGAGE,부채통합,1480000.0,36,16.45,0.204,0.025,5,1,0
200222,58,47870000.0,2.4,837.0,RENT,사업자금,13440000.0,36,7.04,0.29,0.281,9,1,0
201113,63,36950000.0,1.7,702.0,MORTGAGE,주택개선,3470000.0,36,11.27,0.176,0.094,8,0,0
200884,32,27290000.0,2.3,716.0,MORTGAGE,의료비,35210000.0,48,10.66,0.898,1.29,6,0,0
201078,58,99470000.0,1.8,652.0,MORTGAGE,사업자금,2120000.0,12,13.65,0.151,0.021,5,0,0
200575,57,80280000.0,12.3,451.0,OWN,주택개선,21230000.0,60,17.33,0.251,0.264,4,0,0
201138,41,,2.4,718.0,OWN,교육,12710000.0,36,8.64,0.386,0.182,5,0,0
200441,58,55510000.0,17.1,578.0,RENT,사업자금,26300000.0,24,15.2,0.358,0.474,3,3,1
201121,67,26500000.0,5.0,621.0,RENT,교육,10780000.0,36,13.28,0.541,0.407,9,1,1
201064,25,40140000.0,3.3,575.0,OWN,자동차구입,6800000.0,12,13.75,0.132,0.169,5,0,0
200741,34,61330000.0,6.8,622.0,MORTGAGE,부채통합,5790000.0,60,13.96,0.167,0.094,3,0,0
200165,33,60880000.0,7.1,652.0,MORTGAGE,사업자금,20460000.0,24,10.56,0.471,0.336,1,0,0
200322,32,52690000.0,9.3,647.0,RENT,의료비,6930000.0,36,12.99,0.281,0.132,8,0,0
200954,54,69230000.0,9.1,620.0,RENT,부채통합,10980000.0,24,13.08,0.296,0.159,4,0,0
200851,53,89590000.0,5.3,788.0,RENT,부채통합,16270000.0,24,9.13,0.316,0.182,6,0,0
200563,38,27880000.0,7.2,437.0,OWN,의료비,15330000.0,36,18.49,0.38,0.55,8,1,1
200961,-2,39390000.0,0.0,537.0,MORTGAGE,주택개선,18480000.0,36,14.3,0.54,0.469,4,0,0
200956,50,21730000.0,3.5,665.0,RENT,의료비,14030000.0,36,13.27,0.487,0.646,5,0,0
200672,32,39440000.0,13.8,705.0,RENT,사업자금,18490000.0,36,12.25,0.427,0.469,2,0,0
200422,38,40190000.0,12.1,523.0,RENT,주택개선,4520000.0,12,16.75,0.163,0.112,6,0,0
201035,28,36250000.0,6.1,675.0,MORTGAGE,의료비,17050000.0,48,11.39,0.285,0.47,4,0,0
201000,31,105910000.0,8.7,650.0,OWN,기타,11220000.0,36,11.53,0.162,0.106,6,1,0
200843,47,34460000.0,2.0,672.0,OWN,주택개선,3950000.0,12,8.44,0.319,0.115,1,2,0
200864,26,39240000.0,18.8,749.0,MORTGAGE,부채통합,6720000.0,24,9.11,0.222,0.171,8,0,0
200711,30,32740000.0,13.9,,OWN,부채통합,15590000.0,24,9.75,0.387,0.476,6,0,0
200358,57,47300000.0,11.5,573.0,RENT,부채통합,2570000.0,12,14.27,0.197,0.054,7,0,0
201062,34,111450000.0,7.6,608.0,RENT,의료비,9940000.0,36,14.51,0.141,0.089,3,0,0
200582,28,751820000.0,12.3,783.0,MORTGAGE,교육,3680000.0,48,8.3,0.151,0.057,8,0,0
200148,53,70260000.0,0.0,706.0,MORTGAGE,자동차구입,15570000.0,36,12.61,0.22,0.222,5,1,0
200350,24,,7.9,,MORTGAGE,부채통합,5380000.0,12,10.25,0.287,0.062,4,0,0
200387,36,58770000.0,4.2,593.0,RENT,기타,15890000.0,36,13.72,0.343,0.27,4,1,0
200181,56,84890000.0,6.9,544.0,OWN,부채통합,13250000.0,48,16.4,0.307,0.156,5,0,0
