applicant_id,is_default
990001,0
990002,0
990003,0
990004,0
990005,0
990006,0
990007,0
990008,0
990009,0
990010,0
990011,0
990012,0
990013,0
990014,0
990015,0
990016,0
990017,0
990018,0
990019,1
990020,0
990021,1
990022,0
990023,0
990024,0
990025,0
990026,0
990027,0
990028,0
990029,0
990030,0
990031,0
990032,0
990033,1
990034,0
990035,0
990036,0
990037,0
990038,0
990039,1
990040,1
990041,0
990042,0
990043,1
990044,0
990045,0
990046,0
990047,0
990048,0
990049,0
990050,0
990051,0
990052,0
990053,0
990054,0
990055,0
990056,0
990057,0
990058,1
990059,0
990060,0
990061,1
990062,0
990063,0
990064,0
990065,0
990066,0
990067,1
990068,0
990069,1
990070,0
990071,0
990072,0
990073,0
990074,0
990075,0
990076,0
990077,0
990078,1
990079,0
990080,0
990081,0
990082,0
990083,1
990084,0
990085,0
990086,0
990087,0
990088,0
990089,0
990090,0
990091,0
990092,0
990093,0
990094,1
990095,0
990096,0
990097,0
990098,1
990099,0
990100,1
