vibration_x,vibration_y,vibration_z,vibration_axial,noise_level,temp_bearing_1,temp_bearing_2,temp_motor,temp_gearbox,temp_housing,current_phase_a,current_phase_b,current_phase_c,voltage_a,voltage_b,voltage_c,pressure_inlet,pressure_outlet,pressure_mid,rotation_speed,humidity,operating_hours,oil_quality_index,equipment_age_years,outdoor_installed,status
7.123,6.652,6.929,6.496,7.026,70.01,63.38,67.0,60.78,64.56,20.703,20.78,21.761,21.299,19.861,20.217,4.734,4.48,4.674,1385.0,59.8,3019.8,90.45,13.98,Yes,Warning
5.896,5.402,5.41,5.547,5.955,69.37,63.55,67.57,68.94,67.28,23.142,23.619,22.932,23.6,22.451,23.268,4.606,4.282,4.404,1570.6,50.0,2210.2,72.0,0.58,No,Warning
5.467,4.831,4.879,5.387,5.392,77.81,72.99,73.75,68.76,73.36,21.44,21.226,21.375,20.562,20.306,21.849,4.709,4.47,4.885,1445.5,50.0,5447.8,96.38,10.47,Yes,Normal
4.963,5.303,5.796,5.451,4.637,77.1,72.35,70.66,75.3,76.93,23.401,,22.676,23.814,24.112,23.744,4.932,4.641,4.718,1719.3,62.1,5209.7,80.67,12.65,No,Warning
5.469,5.368,5.637,5.929,5.157,71.02,75.6,73.67,78.9,71.75,20.52,21.077,21.796,21.093,21.061,19.515,4.677,4.461,4.266,1502.8,47.2,4959.9,87.11,10.76,No,Normal
6.834,6.517,6.825,5.851,6.246,65.83,62.69,65.03,66.62,57.28,21.284,20.714,21.147,21.708,20.747,20.388,4.343,4.602,4.666,1451.5,41.1,6459.3,90.74,6.73,No,Normal
5.503,5.251,6.6,5.025,4.985,73.48,71.98,71.98,67.58,74.59,20.919,19.923,20.738,21.369,20.522,21.021,4.617,4.519,4.97,1444.8,38.6,4399.0,88.29,4.48,Yes,Normal
7.784,7.196,7.949,7.726,7.592,64.39,66.79,59.66,62.31,64.39,22.601,23.14,21.79,23.046,22.787,22.495,4.806,4.905,4.59,1645.2,40.2,6423.0,83.24,12.54,Yes,Failure
7.317,6.327,6.307,6.888,6.086,72.92,76.02,76.25,75.08,74.36,21.47,21.327,22.339,21.24,21.784,21.86,4.848,4.769,4.999,1366.8,51.9,6488.3,73.63,10.96,No,Warning
5.993,5.446,6.575,6.065,6.075,67.42,69.4,67.48,70.55,70.74,23.184,22.745,22.801,22.781,22.755,22.463,4.791,4.512,4.521,1450.4,,1666.8,78.31,1.58,Yes,Warning
6.238,7.646,7.468,7.463,7.755,69.19,68.86,69.41,69.3,68.86,23.342,22.48,23.518,23.502,22.886,23.231,4.547,4.947,5.065,1405.2,48.4,9678.6,82.12,1.46,No,Failure
5.373,6.734,5.053,5.199,6.357,57.61,60.9,59.34,60.35,64.68,23.854,24.888,23.038,24.121,24.437,23.877,4.185,4.152,4.152,1486.4,53.0,2785.7,78.58,10.59,No,Normal
7.528,7.957,7.033,7.161,7.042,63.82,62.88,65.23,65.8,62.44,20.715,22.054,21.624,21.58,21.701,21.594,4.743,4.853,4.726,1296.7,48.9,1074.1,87.02,11.4,Yes,Failure
8.169,8.075,7.694,8.01,6.803,71.82,70.23,71.06,69.62,72.15,23.819,23.073,23.478,22.441,23.243,23.11,5.076,5.0,4.629,1341.3,22.4,1747.0,59.77,11.61,No,Failure
5.134,5.682,6.497,6.184,5.338,68.47,66.17,64.42,70.81,71.02,20.118,20.39,20.686,21.377,19.775,21.245,4.679,4.829,4.338,1643.0,29.5,9227.3,98.72,5.65,,Normal
6.462,5.632,5.603,6.459,7.263,63.2,59.94,55.41,60.4,63.81,21.541,21.244,22.244,22.241,21.585,22.296,4.454,4.297,4.507,1426.8,37.3,5118.9,98.97,0.79,No,Normal
7.266,6.308,7.113,6.679,7.093,74.49,74.88,74.32,76.57,74.68,22.511,23.038,23.573,22.747,22.509,23.04,5.419,4.921,5.065,1474.0,43.3,2142.4,79.23,14.77,No,Failure
6.131,5.124,5.647,5.622,6.168,62.17,57.83,61.04,61.73,60.72,21.981,21.363,21.225,21.371,20.14,21.302,3.989,4.332,4.487,1512.9,45.6,2455.9,87.72,10.95,No,Normal
7.321,7.62,6.989,8.115,7.99,68.26,,71.3,73.87,73.57,24.089,23.283,24.66,22.296,23.771,24.258,4.814,5.126,5.034,1453.1,40.7,4388.0,64.31,4.56,No,Failure
6.362,6.181,5.875,6.328,6.795,69.56,72.88,74.14,68.88,72.84,23.757,22.346,23.657,22.637,23.156,23.963,4.833,5.075,4.783,1609.2,57.6,1041.0,84.35,9.1,No,Warning
6.014,5.341,5.209,4.748,4.777,67.87,70.13,68.71,69.26,65.68,21.379,21.172,22.435,21.702,21.273,21.855,4.416,4.089,4.391,1470.2,54.3,6818.0,91.24,13.43,No,Normal
5.408,5.802,5.14,7.076,5.826,64.64,63.86,63.45,64.49,64.35,22.228,20.653,22.517,22.385,22.232,22.177,4.664,4.104,4.158,1557.7,38.3,877.0,77.96,3.39,,Warning
5.04,5.804,6.059,5.247,5.566,62.65,63.79,62.83,63.9,63.08,20.16,19.78,21.494,22.337,21.978,20.494,4.004,4.054,4.084,1841.3,,633.3,98.85,11.45,No,Normal
6.8,6.509,6.664,7.28,6.479,71.06,67.02,68.64,70.76,69.43,24.059,23.329,22.882,22.786,23.449,24.915,4.846,4.477,5.071,1495.3,54.3,2180.0,,7.29,No,Warning
6.669,6.941,7.124,6.517,7.273,64.45,67.68,64.52,66.58,64.36,22.676,22.751,22.149,21.93,21.831,23.653,4.517,4.689,4.359,1428.7,64.1,3859.9,80.57,9.19,No,Warning
6.824,6.133,6.878,7.638,6.462,74.93,72.88,70.62,70.32,68.8,20.632,20.453,22.035,20.674,22.085,21.118,5.068,4.996,4.765,1525.5,23.4,2566.1,102.84,14.16,No,Warning
