id,status
1,Failure
2,Normal
3,Normal
4,Failure
5,Warning
6,Normal
7,Normal
8,Failure
9,Failure
10,Normal
11,Failure
12,Failure
13,Normal
14,Warning
15,Warning
16,Normal
17,Warning
18,Warning
19,Warning
20,Warning
21,Warning
22,Warning
23,Failure
24,Normal
25,Normal
26,Warning
27,Normal
28,Warning
29,Failure
30,Warning
31,Normal
32,Normal
33,Warning
34,Normal
35,Normal
36,Normal
37,Warning
38,Warning
39,Warning
40,Normal
41,Failure
42,Normal
43,Normal
44,Warning
45,Warning
46,Warning
47,Normal
48,Normal
49,Warning
50,Failure
51,Normal
52,Warning
53,Normal
54,Normal
55,Failure
56,Normal
57,Warning
58,Normal
59,Normal
60,Normal
61,Normal
62,Failure
63,Warning
64,Normal
65,Normal
66,Warning
67,Failure
68,Warning
69,Failure
70,Normal
71,Normal
72,Normal
73,Warning
74,Normal
75,Warning
76,Warning
77,Normal
78,Normal
79,Normal
80,Normal
81,Normal
82,Normal
83,Warning
84,Normal
85,Normal
86,Failure
87,Failure
88,Warning
89,Normal
90,Warning
91,Normal
92,Warning
93,Warning
94,Failure
95,Warning
96,Failure
97,Warning
98,Warning
99,Warning
100,Normal
