transaction_id,date,store_branch,customer_type,payment_method,num_items,total_amount,items
11179,2026-05-07 18:38,분당점,기존,현금,7,38600.0,"소고기,계란,감자칩,콜라,라면,커피,크루아상"
10866,2026-05-04 15:25,강남점,신규,카드,5,9800.0,"감자칩,콜라,마늘,양파,크루아상"
10102,2026-04-07 12:25,분당점,기존,모바일페이,4,12000.0,"요거트,콜라,맥주,감자칩"
10440,2026-03-07 21:05,홍대점,신규,현금,9,64300.0,"소고기,계란,맥주,시리얼,감자칩,콜라,기저귀,라면,커피"
10059,2026-04-28 08:19,강남점,신규,모바일페이,1,19400.0,소고기
11121,2026-04-20 08:37,분당점,신규,모바일페이,9,44300.0,"계란,식빵,화장지,우유,시리얼,상추,삼겹살,마늘,라면"
10324,2026-04-28 08:38,잠실점,기존,모바일페이,3,11900.0,"치즈,상추,맥주"
10975,2026-04-16 11:24,강남점,기존,카드,3,23500.0,"기저귀,상추,맥주"
10412,2026-03-28 11:39,강남점,기존,카드,2,9600.0,"라면,계란"
10856,2026-03-02 14:29,분당점,기존,카드,7,25800.0,"계란,식빵,바나나,우유,요거트,버터,라면"
10821,2026-04-30 20:27,잠실점,기존,모바일페이,2,9600.0,"라면,커피"
10045,2026-05-07 11:47,분당점,기존,현금,1,3900.0,파스타소스
10050,2026-04-23 16:28,분당점,신규,현금,4,17200.0,"파스타,파스타소스,커피,크루아상"
10850,2026-05-04 11:44,홍대점,기존,모바일페이,7,41200.0,"파스타,맥주,시리얼,사과,파스타소스,기저귀,커피"
10241,2026-05-19 21:55,강남점,기존,카드,7,40100.0,"계란,맥주,식빵,우유,버터,기저귀,라면"
10171,2026-04-13 19:16,홍대점,기존,현금,8,44700.0,"맥주,상추,감자칩,콜라,기저귀,라면,커피,크루아상"
10524,2026-04-03 10:05,분당점,신규,카드,1,2900.0,식빵
10766,2026-04-28 12:10,분당점,기존,카드,4,14900.0,"콜라,커피,감자칩,크루아상"
10839,2026-04-12 21:29,분당점,신규,카드,1,4300.0,사과
10424,2026-05-25 14:44,홍대점,신규,모바일페이,5,34200.0,"소고기,감자,우유,시리얼,감자칩"
10381,2026-05-21 16:39,분당점,신규,현금,3,15300.0,"요거트,커피,크루아상"
10610,2026-03-12 10:53,홍대점,기존,모바일페이,3,14800.0,"상추,마늘,삼겹살"
10677,2026-03-09 20:55,홍대점,기존,현금,6,24000.0,"닭가슴살,식빵,상추,감자칩,버터,콜라"
10345,2026-04-19 21:36,강남점,VIP,카드,3,22400.0,"기저귀,맥주,사과"
10110,2026-05-29 08:07,잠실점,신규,모바일페이,7,56600.0,"닭가슴살,파스타,맥주,요거트,삼겹살,세제,기저귀"
10278,2026-04-24 08:53,잠실점,VIP,현금,1,4500.0,커피
10678,2026-03-11 12:37,분당점,기존,현금,7,35600.0,"파스타,우유,시리얼,상추,삼겹살,파스타소스,마늘"
10571,2026-04-20 11:49,강남점,기존,카드,4,12800.0,"감자칩,계란,마늘,식빵"
10359,2026-03-29 15:19,홍대점,VIP,카드,5,25900.0,"시리얼,상추,삼겹살,초콜릿,마늘"
10599,2026-04-25 09:11,홍대점,기존,현금,2,19400.0,"기저귀,맥주"
10391,2026-05-19 13:09,홍대점,기존,모바일페이,4,17300.0,"우유,시리얼,사과,치즈"
10894,2026-04-18 09:35,잠실점,VIP,현금,5,22000.0,"요거트,상추,감자칩,삼겹살,마늘"
10693,2026-03-20 12:43,홍대점,기존,모바일페이,6,42100.0,"맥주,식빵,우유,버터,기저귀,화장지"
10728,2026-03-20 09:57,홍대점,신규,카드,7,54600.0,"치즈,파스타,계란,맥주,삼겹살,파스타소스,기저귀"
10363,2026-05-12 13:45,잠실점,신규,카드,4,12300.0,"감자칩,콜라,라면,계란"
10597,2026-03-25 09:42,강남점,기존,현금,7,28100.0,"파스타,상추,삼겹살,버터,파스타소스,마늘,생수"
10428,2026-05-12 09:03,강남점,기존,모바일페이,2,20500.0,"기저귀,맥주"
10071,2026-03-15 11:14,잠실점,기존,카드,6,33000.0,"맥주,감자칩,콜라,기저귀,커피,크루아상"
10322,2026-05-06 18:48,분당점,신규,카드,1,6400.0,닭가슴살
10653,2026-04-02 17:29,강남점,기존,현금,6,41000.0,"파스타,맥주,시리얼,파스타소스,기저귀,화장지"
11066,2026-05-29 16:20,분당점,VIP,카드,1,2300.0,초콜릿
10108,2026-03-17 20:16,잠실점,VIP,카드,5,27100.0,"맥주,우유,감자칩,파스타소스,기저귀"
11109,2026-04-09 10:51,강남점,기존,모바일페이,4,13500.0,"우유,파스타,파스타소스,콜라"
10356,2026-03-10 21:05,홍대점,VIP,모바일페이,2,9900.0,"화장지,감자칩"
10951,2026-05-14 08:39,강남점,기존,모바일페이,4,33800.0,"세제,기저귀,맥주,초콜릿"
