val_id,date,store_branch,customer_type,payment_method,num_items,total_amount,items
90001,2026-06-19 08:00,홍대점,기존,카드,6,33700.0,"감자,라면,세제,우유,파스타,파스타소스"
90002,2026-06-24 21:00,잠실점,기존,카드,8,48500.0,"기저귀,라면,맥주,삼겹살,상추,시리얼,양파,우유"
90003,2026-06-20 15:00,분당점,VIP,현금,1,15300.0,감자칩
90004,2026-06-20 09:00,홍대점,신규,카드,6,35200.0,"감자칩,기저귀,맥주,콜라,파스타,파스타소스"
90005,2026-06-24 17:00,잠실점,기존,모바일페이,5,35600.0,"기저귀,바나나,버터,시리얼,우유"
90006,2026-06-28 08:00,잠실점,기존,현금,4,24800.0,"감자,기저귀,맥주,양파"
90007,2026-06-25 11:00,강남점,기존,모바일페이,4,42600.0,"소고기,초콜릿,파스타,파스타소스"
90008,2026-06-27 17:00,분당점,신규,모바일페이,3,27200.0,"감자,기저귀,식빵"
90009,2026-06-22 12:00,홍대점,신규,카드,4,15200.0,"감자칩,마늘,양파,콜라"
90010,2026-06-22 08:00,강남점,기존,카드,5,23200.0,"마늘,버터,식빵,우유,커피"
90011,2026-06-28 18:00,홍대점,신규,모바일페이,3,29500.0,"기저귀,맥주,요거트"
90012,2026-06-26 12:00,분당점,신규,카드,4,21300.0,"초콜릿,커피,크루아상,파스타"
90013,2026-06-23 20:00,홍대점,VIP,카드,1,19800.0,맥주
90014,2026-06-18 13:00,잠실점,VIP,카드,4,25700.0,"닭가슴살,사과,치즈,크루아상"
90015,2026-06-20 08:00,강남점,신규,현금,1,13200.0,커피
90016,2026-06-17 08:00,강남점,신규,카드,4,23900.0,"감자칩,닭가슴살,삼겹살,상추"
90017,2026-06-19 20:00,분당점,기존,현금,3,15400.0,"생수,시리얼,우유"
90018,2026-06-16 16:00,강남점,기존,현금,6,39200.0,"감자칩,기저귀,맥주,콜라,파스타,파스타소스"
90019,2026-06-28 11:00,잠실점,기존,모바일페이,8,56800.0,"계란,기저귀,라면,맥주,버터,삼겹살,콜라,파스타소스"
90020,2026-06-15 09:00,홍대점,기존,카드,6,29400.0,"감자칩,버터,시리얼,우유,콜라,파스타"
90021,2026-06-25 14:00,분당점,기존,카드,4,34800.0,"기저귀,맥주,사과,크루아상"
90022,2026-06-28 14:00,강남점,신규,카드,1,21900.0,맥주
90023,2026-06-17 10:00,잠실점,신규,모바일페이,2,21000.0,"기저귀,초콜릿"
90024,2026-06-16 15:00,잠실점,신규,카드,3,19800.0,"계란,라면,양파"
90025,2026-06-17 18:00,잠실점,기존,모바일페이,2,7800.0,"감자칩,라면"
90026,2026-06-19 09:00,분당점,신규,카드,2,4800.0,"생수,콜라"
90027,2026-06-23 08:00,분당점,기존,모바일페이,3,18700.0,"삼겹살,상추,식빵"
90028,2026-06-18 21:00,분당점,기존,모바일페이,6,21200.0,"감자,감자칩,맥주,시리얼,우유,콜라"
90029,2026-06-28 19:00,잠실점,VIP,카드,1,7400.0,치즈
90030,2026-06-16 19:00,강남점,기존,모바일페이,3,14600.0,"감자칩,라면,콜라"
90031,2026-06-15 09:00,강남점,기존,카드,1,3700.0,콜라
90032,2026-06-15 20:00,강남점,기존,모바일페이,3,27900.0,"감자,맥주,초콜릿"
90033,2026-06-20 20:00,홍대점,신규,카드,3,12700.0,"감자칩,커피,크루아상"
90034,2026-06-25 11:00,잠실점,신규,카드,7,52400.0,"라면,맥주,바나나,상추,세제,소고기,요거트"
90035,2026-06-26 20:00,잠실점,기존,카드,5,31800.0,"기저귀,시리얼,우유,파스타,파스타소스"
90036,2026-06-23 21:00,홍대점,신규,카드,3,23100.0,"계란,치즈,화장지"
90037,2026-06-22 16:00,강남점,기존,모바일페이,1,7400.0,파스타
90038,2026-06-22 12:00,잠실점,VIP,모바일페이,4,26800.0,"기저귀,상추,식빵,콜라"
90039,2026-06-28 14:00,분당점,기존,모바일페이,5,38700.0,"라면,마늘,바나나,삼겹살,상추"
90040,2026-06-24 18:00,분당점,VIP,카드,7,44900.0,"감자칩,마늘,맥주,삼겹살,상추,시리얼,콜라"
90041,2026-06-20 20:00,강남점,기존,모바일페이,3,17800.0,"시리얼,파스타,파스타소스"
90042,2026-06-23 16:00,강남점,기존,모바일페이,6,36700.0,"마늘,삼겹살,상추,우유,커피,크루아상"
90043,2026-06-24 21:00,강남점,기존,카드,3,18800.0,"삼겹살,상추,요거트"
90044,2026-06-19 15:00,강남점,VIP,카드,1,10500.0,사과
90045,2026-06-21 15:00,강남점,기존,모바일페이,3,22200.0,"감자칩,바나나,콜라"
90046,2026-06-26 08:00,강남점,기존,카드,2,8900.0,"바나나,요거트"
90047,2026-06-20 18:00,분당점,VIP,카드,2,6500.0,"우유,콜라"
90048,2026-06-17 21:00,분당점,VIP,카드,3,23000.0,"바나나,시리얼,커피"
90049,2026-06-22 16:00,홍대점,기존,모바일페이,6,36100.0,"기저귀,맥주,바나나,식빵,파스타,파스타소스"
90050,2026-06-16 08:00,홍대점,VIP,카드,1,6400.0,초콜릿
90051,2026-06-24 11:00,홍대점,기존,카드,2,10000.0,"식빵,우유"
