상품군별(1),상품군별(2),범위별(1),2021,2022,2023,2024,2025,성장률
합계,소계,계,192723965,216175137,242206780,262425629,274944156,42.66
합계,소계,종합몰,123851756,132772279,141563914,148277717,150278498,21.34
합계,소계,전문몰,68872209,83402858,100642866,114147912,124665658,81.01
컴퓨터 및 주변기기,소계,계,9517073,9131376,8707753,8486038,8526724,-10.41
컴퓨터 및 주변기기,소계,종합몰,6950027,6774247,6520672,6295090,6028501,-13.26
컴퓨터 및 주변기기,소계,전문몰,2567046,2357129,2187081,2190948,2498223,-2.68
가전·전자·통신기기,소계,계,20694023,20935534,21696673,22441825,23022310,11.25
가전·전자·통신기기,소계,종합몰,17812093,18218858,19144127,19272403,19144772,7.48
가전·전자·통신기기,소계,전문몰,2881930,2716676,2552546,3169422,3877538,34.55
가전·전자·통신기기,가전·전자,계,15506951,15202193,15603611,16380263,16342045,5.39
가전·전자·통신기기,가전·전자,종합몰,13692645,13494673,14210607,14468069,14032232,2.48
가전·전자·통신기기,가전·전자,전문몰,1814306,1707520,1393004,1912194,2309813,27.31
가전·전자·통신기기,통신기기,계,5187072,5733341,6093058,6061561,6680265,28.79
가전·전자·통신기기,통신기기,종합몰,4119448,4724185,4933520,4804334,5112540,24.11
가전·전자·통신기기,통신기기,전문몰,1067624,1009156,1159538,1257227,1567725,46.84
서적,소계,계,2607482,2570401,2467798,2606277,2594921,-0.48
서적,소계,종합몰,923833,884973,902824,1010080,1037760,12.33
서적,소계,전문몰,1683649,1685428,1564974,1596197,1557161,-7.51
사무·문구,소계,계,1574241,1781517,1939695,2053586,2153573,36.8
사무·문구,소계,종합몰,1304107,1529960,1681349,1802813,1913874,46.76
사무·문구,소계,전문몰,270134,251557,258346,250773,239699,-11.27
의복,소계,계,17373945,20076958,21708688,22931815,22838013,31.45
의복,소계,종합몰,8399665,9005204,9122445,8378217,7812701,-6.99
의복,소계,전문몰,8974280,11071754,12586243,14553598,15025312,67.43
신발,소계,계,3416543,3872970,3970067,3848353,3682491,7.78
신발,소계,종합몰,2075933,2225701,2309186,2201214,2140553,3.11
신발,소계,전문몰,1340610,1647269,1660881,1647139,1541938,15.02
가방,소계,계,2374828,2755923,2988090,2753647,2441910,2.82
가방,소계,종합몰,1562173,1619521,1737575,1578437,1394646,-10.72
가방,소계,전문몰,812655,1136402,1250515,1175210,1047264,28.87
패션용품 및 액세서리,소계,계,3319785,3799828,3914017,4088761,4399903,32.54
패션용품 및 액세서리,소계,종합몰,2556069,2755348,2790281,2830724,3004192,17.53
패션용품 및 액세서리,소계,전문몰,763716,1044480,1123736,1258037,1395711,82.75
스포츠·레저용품,소계,계,5751529,6079752,5852637,5725388,5614790,-2.38
스포츠·레저용품,소계,종합몰,5377417,5708794,5430896,5208865,4904483,-8.79
스포츠·레저용품,소계,전문몰,374112,370958,421741,516523,710307,89.86
