date,month,weekday,category,value,value2
2024-01-01,2024-01,Monday,A,16.97,25.06
2024-01-02,2024-01,Tuesday,D,23.04,22.15
2024-01-03,2024-01,Wednesday,C,20.74,25.7
2024-01-04,2024-01,Thursday,D,20.44,23.16
2024-01-05,2024-01,Friday,C,22.96,30.12
2024-01-06,2024-01,Saturday,B,24.15,33.26
2024-01-07,2024-01,Sunday,B,22.01,24.77
2024-01-08,2024-01,Monday,A,23.67,30.57
2024-01-09,2024-01,Tuesday,A,19.13,29.76
2024-01-10,2024-01,Wednesday,D,20.84,25.38
2024-01-11,2024-01,Thursday,D,23.04,31.41
2024-01-12,2024-01,Friday,A,22.81,31.38
2024-01-13,2024-01,Saturday,D,20.49,24.59
2024-01-14,2024-01,Sunday,C,19.4,27.69
2024-01-15,2024-01,Monday,D,21.63,24.76
2024-01-16,2024-01,Tuesday,A,19.64,28.13
2024-01-17,2024-01,Wednesday,D,23.87,28.37
2024-01-18,2024-01,Thursday,B,23.07,30.46
2024-01-19,2024-01,Friday,D,25.12,33.55
2024-01-20,2024-01,Saturday,B,24.67,32.35
2024-01-21,2024-01,Sunday,D,24.66,26.23
2024-01-22,2024-01,Monday,D,21.94,26.64
2024-01-23,2024-01,Tuesday,C,22.2,34.84
2024-01-24,2024-01,Wednesday,C,20.56,30.6
2024-01-25,2024-01,Thursday,D,22.28,29.62
2024-01-26,2024-01,Friday,C,25.17,35.57
2024-01-27,2024-01,Saturday,D,22.49,27.39
2024-01-28,2024-01,Sunday,B,26.24,33.35
2024-01-29,2024-01,Monday,D,20.39,22.83
2024-01-30,2024-01,Tuesday,D,25.41,33.6
2024-01-31,2024-01,Wednesday,B,22.76,30.22
2024-02-01,2024-02,Thursday,C,26.04,32.62
2024-02-02,2024-02,Friday,B,22.3,27.54
2024-02-03,2024-02,Saturday,D,23.27,25.46
2024-02-04,2024-02,Sunday,C,23.13,30.11
2024-02-05,2024-02,Monday,B,26.1,35.71
2024-02-06,2024-02,Tuesday,B,24.48,30.13
2024-02-07,2024-02,Wednesday,B,24.65,25.3
2024-02-08,2024-02,Thursday,D,21.04,23.37
2024-02-09,2024-02,Friday,A,26.33,30.6
2024-02-10,2024-02,Saturday,B,29.14,36.46
2024-02-11,2024-02,Sunday,B,27.57,32.11
2024-02-12,2024-02,Monday,C,22.62,28.05
2024-02-13,2024-02,Tuesday,B,28.11,29.63
2024-02-14,2024-02,Wednesday,C,26.41,31.96
2024-02-15,2024-02,Thursday,B,21.47,28.2
2024-02-16,2024-02,Friday,B,26.62,34.69
2024-02-17,2024-02,Saturday,C,30.83,39.12
2024-02-18,2024-02,Sunday,C,26.67,35.55
2024-02-19,2024-02,Monday,A,30.32,42.76
2024-02-20,2024-02,Tuesday,C,30.74,35.2
2024-02-21,2024-02,Wednesday,A,24.53,28.19
2024-02-22,2024-02,Thursday,D,22.42,31.69
2024-02-23,2024-02,Friday,C,25.99,27.9
2024-02-24,2024-02,Saturday,B,27.7,39.36
2024-02-25,2024-02,Sunday,B,32.85,54.36
2024-02-26,2024-02,Monday,B,23.99,22.66
2024-02-27,2024-02,Tuesday,D,27.86,32.96
2024-02-28,2024-02,Wednesday,C,25.31,32.34
2024-02-29,2024-02,Thursday,C,30.44,40.2
2024-03-01,2024-03,Friday,C,24.23,24.8
2024-03-02,2024-03,Saturday,A,25.97,33.55
2024-03-03,2024-03,Sunday,C,27.91,40.22
2024-03-04,2024-03,Monday,C,26.11,29.21
2024-03-05,2024-03,Tuesday,A,25.52,41.69
2024-03-06,2024-03,Wednesday,A,25.32,36.27
2024-03-07,2024-03,Thursday,D,30.67,41.4
2024-03-08,2024-03,Friday,B,27.48,35.57
2024-03-09,2024-03,Saturday,D,29.38,36.37
2024-03-10,2024-03,Sunday,D,24.44,26.66
2024-03-11,2024-03,Monday,A,32.94,43.46
2024-03-12,2024-03,Tuesday,D,27.92,37.44
2024-03-13,2024-03,Wednesday,B,29.01,36.07
2024-03-14,2024-03,Thursday,B,31.75,42.99
2024-03-15,2024-03,Friday,C,29.06,32.87
2024-03-16,2024-03,Saturday,C,24.47,38.42
2024-03-17,2024-03,Sunday,A,28.11,35.01
2024-03-18,2024-03,Monday,D,33.1,38.61
2024-03-19,2024-03,Tuesday,B,30.72,38.36
2024-03-20,2024-03,Wednesday,B,28.84,36.84
2024-03-21,2024-03,Thursday,D,33.14,43.45
2024-03-22,2024-03,Friday,A,30.92,31.99
2024-03-23,2024-03,Saturday,B,26.52,29.6
2024-03-24,2024-03,Sunday,C,26.48,33.08
2024-03-25,2024-03,Monday,A,25.19,32.87
2024-03-26,2024-03,Tuesday,C,27.78,34.8
2024-03-27,2024-03,Wednesday,A,30.9,45.52
2024-03-28,2024-03,Thursday,B,28.88,34.76
2024-03-29,2024-03,Friday,B,30.12,39.87
2024-03-30,2024-03,Saturday,A,26.2,34.42
2024-03-31,2024-03,Sunday,C,37.05,55.68
2024-04-01,2024-04,Monday,B,26.99,33.94
2024-04-02,2024-04,Tuesday,B,27.83,37.44
2024-04-03,2024-04,Wednesday,B,33.26,40.32
2024-04-04,2024-04,Thursday,B,23.25,29.57
2024-04-05,2024-04,Friday,D,26.55,32.39
2024-04-06,2024-04,Saturday,A,33.15,42.71
2024-04-07,2024-04,Sunday,B,24.54,26.04
2024-04-08,2024-04,Monday,C,25.99,29.4
2024-04-09,2024-04,Tuesday,A,35.4,57.65
2024-04-10,2024-04,Wednesday,D,28.82,38.84
2024-04-11,2024-04,Thursday,A,35.15,41.75
2024-04-12,2024-04,Friday,D,32.33,43.77
2024-04-13,2024-04,Saturday,A,28.9,37.04
2024-04-14,2024-04,Sunday,B,29.35,37.08
2024-04-15,2024-04,Monday,A,30.79,37.8
2024-04-16,2024-04,Tuesday,B,33.16,43.72
2024-04-17,2024-04,Wednesday,C,31.2,40.77
2024-04-18,2024-04,Thursday,C,28.0,37.67
2024-04-19,2024-04,Friday,D,29.9,47.24
2024-04-20,2024-04,Saturday,C,31.37,37.73
2024-04-21,2024-04,Sunday,C,26.9,39.73
2024-04-22,2024-04,Monday,A,31.69,34.22
2024-04-23,2024-04,Tuesday,A,33.05,44.79
2024-04-24,2024-04,Wednesday,A,28.87,38.59
2024-04-25,2024-04,Thursday,D,30.46,38.43
2024-04-26,2024-04,Friday,C,29.56,39.04
2024-04-27,2024-04,Saturday,A,34.74,34.9
2024-04-28,2024-04,Sunday,D,30.87,41.31
2024-04-29,2024-04,Monday,B,29.23,30.98
2024-04-30,2024-04,Tuesday,A,35.54,40.07
2024-05-01,2024-05,Wednesday,B,32.96,41.53
2024-05-02,2024-05,Thursday,B,27.21,34.04
2024-05-03,2024-05,Friday,B,34.28,46.89
2024-05-04,2024-05,Saturday,D,33.91,45.84
2024-05-05,2024-05,Sunday,B,35.61,48.05
2024-05-06,2024-05,Monday,A,29.49,38.61
2024-05-07,2024-05,Tuesday,D,28.29,40.74
2024-05-08,2024-05,Wednesday,A,32.73,41.78
2024-05-09,2024-05,Thursday,A,33.89,47.06
2024-05-10,2024-05,Friday,C,32.57,36.05
2024-05-11,2024-05,Saturday,C,30.17,34.53
2024-05-12,2024-05,Sunday,A,34.9,47.92
2024-05-13,2024-05,Monday,D,28.26,32.68
2024-05-14,2024-05,Tuesday,A,26.7,32.02
2024-05-15,2024-05,Wednesday,B,31.27,45.28
2024-05-16,2024-05,Thursday,A,23.45,31.71
2024-05-17,2024-05,Friday,C,30.53,41.35
2024-05-18,2024-05,Saturday,C,24.11,28.98
2024-05-19,2024-05,Sunday,B,32.06,35.36
2024-05-20,2024-05,Monday,C,31.38,44.18
2024-05-21,2024-05,Tuesday,A,28.55,40.37
2024-05-22,2024-05,Wednesday,C,30.94,41.16
2024-05-23,2024-05,Thursday,B,31.04,36.9
2024-05-24,2024-05,Friday,C,29.75,40.21
2024-05-25,2024-05,Saturday,B,33.19,38.91
2024-05-26,2024-05,Sunday,C,34.61,42.02
2024-05-27,2024-05,Monday,B,27.68,36.79
2024-05-28,2024-05,Tuesday,C,30.16,44.52
2024-05-29,2024-05,Wednesday,B,32.67,45.84
2024-05-30,2024-05,Thursday,B,37.06,47.36
2024-05-31,2024-05,Friday,A,24.05,37.68
2024-06-01,2024-06,Saturday,A,30.36,44.7
2024-06-02,2024-06,Sunday,C,25.2,27.75
2024-06-03,2024-06,Monday,D,27.6,37.63
2024-06-04,2024-06,Tuesday,B,31.53,42.09
2024-06-05,2024-06,Wednesday,C,22.99,30.11
2024-06-06,2024-06,Thursday,A,28.48,38.86
2024-06-07,2024-06,Friday,A,30.28,42.41
2024-06-08,2024-06,Saturday,A,30.53,41.8
2024-06-09,2024-06,Sunday,A,29.27,38.84
2024-06-10,2024-06,Monday,A,32.24,40.34
2024-06-11,2024-06,Tuesday,B,28.95,37.16
2024-06-12,2024-06,Wednesday,C,32.2,33.89
2024-06-13,2024-06,Thursday,D,25.24,23.47
2024-06-14,2024-06,Friday,D,27.62,38.9
2024-06-15,2024-06,Saturday,D,30.21,43.63
2024-06-16,2024-06,Sunday,D,33.57,43.36
2024-06-17,2024-06,Monday,A,29.26,43.45
2024-06-18,2024-06,Tuesday,A,29.79,35.38
2024-06-19,2024-06,Wednesday,B,25.04,29.0
2024-06-20,2024-06,Thursday,A,28.37,40.1
2024-06-21,2024-06,Friday,C,25.27,34.42
2024-06-22,2024-06,Saturday,D,26.26,36.03
2024-06-23,2024-06,Sunday,A,23.85,34.72
2024-06-24,2024-06,Monday,D,27.49,33.61
2024-06-25,2024-06,Tuesday,B,27.31,37.21
2024-06-26,2024-06,Wednesday,D,28.67,38.58
2024-06-27,2024-06,Thursday,B,33.16,41.74
2024-06-28,2024-06,Friday,A,24.73,36.42
2024-06-29,2024-06,Saturday,B,32.47,43.75
