R&D Spend,Administration,Marketing Spend,State,Profit
24967.87,141561.98,13309.33,California,56387.42
80957.01,171801.3,0.0,California,85070.65
59229.85,,35914.66,Florida,57781.05
96902.98,120396.7,113669.24,Florida,102467.54
,125940.06,149606.63,Florida,73350.78
24102.82,97655.65,65117.88,New York,32709.07
33932.43,91198.2,177455.03,California,52664.25
31134.69,109601.02,65372.89,California,44937.78
49450.43,114116.76,211958.3,California,48208.24
77345.13,108983.93,121888.83,New York,87553.56
84973.04,138005.22,68477.52,Florida,78125.38
16174.0,132322.82,88379.01,Florida,12289.28
105314.61,97161.9,146464.02,New York,106286.24
62510.9,117471.46,69722.44,California,63354.05
56392.0,114341.21,121396.29,New York,74948.13
123331.04,,125324.34,New York,139204.12
72265.61,145662.64,74917.27,Florida,76312.19
26955.19,91588.42,43188.79,Florida,51666.23
20319.02,105233.63,10526.33,Florida,38295.26
67124.69,139373.14,0.0,California,65058.07
85560.17,138770.43,113369.07,New York,107272.01
83290.85,73685.69,159637.58,New York,99715.55
46833.38,89271.03,115318.59,New York,70662.96
111148.5,139591.98,245614.14,California,104283.89
120403.29,121286.73,250624.61,California,118224.49
102521.96,120161.39,132087.89,California,108897.65
61185.2,132929.42,140970.38,California,83891.32
117608.33,113025.92,64068.79,California,118577.69
82141.94,169604.81,98975.09,Florida,89297.05
147642.3,,241722.85,New York,157127.18
24671.97,105244.15,192330.65,New York,36311.15
36231.39,112947.59,0.0,California,44670.68
83848.95,86903.45,53616.8,New York,95039.74
73034.67,120913.27,,New York,96456.8
25702.3,99222.45,74925.7,New York,27022.85
,73837.0,153726.12,New York,66197.21
98328.76,105535.39,32208.12,California,106593.13
,135652.5,114512.1,California,85524.86
132514.57,126617.37,120052.18,New York,135738.1
101120.62,112710.07,52440.89,California,94860.75
81738.86,115207.13,98887.04,California,85361.6
102612.01,134829.23,0.0,California,89986.7
69329.86,112815.66,218696.62,California,80376.46
44298.65,117144.29,152124.17,Florida,55371.82
37273.11,133640.59,139269.97,New York,61591.19
84994.32,111440.53,180211.78,Florida,89090.5
10438.62,117357.13,110454.4,California,23880.08
123137.55,117995.13,160613.4,Florida,132448.15
124036.91,,6797.5,California,120862.95
59140.25,80725.19,196098.47,New York,66827.21
70649.11,123201.29,166597.79,California,90761.13
172000.0,102746.59,120192.14,New York,157238.68
43123.67,133316.6,91245.41,Florida,43834.39
42961.07,138441.78,51162.56,California,53185.88
172000.0,134617.89,215557.59,California,169187.2
47706.54,113860.9,242645.63,Florida,59066.82
104322.19,146042.18,15005.19,California,108648.69
37136.87,89532.69,37293.02,New York,49760.99
102895.48,156540.45,,California,102050.05
23891.87,172050.33,72983.01,Florida,26251.38
64406.72,104139.62,224311.59,California,85599.73
93852.66,128674.06,33775.86,New York,103814.59
107401.07,114769.5,246614.45,California,127689.48
73359.03,129915.32,146463.28,Florida,64276.32
28999.4,115149.59,106585.57,Florida,24559.92
,136213.34,207813.3,Florida,137944.18
,154474.59,,California,111484.52
86520.97,130535.12,155960.91,Florida,87989.22
39511.5,127401.52,84826.51,Florida,42551.36
110494.31,110344.47,88408.09,California,114502.92
65057.95,,197075.98,California,86043.54
39845.59,106137.43,96293.81,New York,51085.47
33984.72,169446.85,113220.34,California,32547.73
172000.0,83050.97,79170.71,New York,155634.6
137260.08,80869.23,140221.93,New York,115576.94
64981.66,136779.55,168420.21,Florida,61653.45
34330.94,159912.44,21005.38,New York,36990.11
34693.35,97477.84,104197.07,California,56533.08
88049.06,125242.13,0.0,New York,84232.73
90522.25,125556.13,230706.52,New York,97448.29
35175.09,142197.0,-3986.9834519760234,California,56511.18
121379.34,102481.16,31541.6,California,116996.85
75227.3,63889.08,84845.91,Florida,65593.29
65960.91,172462.54,166885.29,Florida,72869.08
77784.96,98865.45,133263.81,New York,83606.1
80384.9,152401.02,259202.38,Florida,81336.42
66872.52,137881.87,84911.34,California,67698.8
90884.05,153900.46,0.0,Florida,84279.2
35443.03,140307.85,89168.03,New York,56047.85
105981.46,133599.67,172880.68,California,116604.91
44385.08,,144416.52,California,52397.31
103663.02,121018.37,203245.92,California,96740.01
58497.41,,203488.89,California,55292.09
110396.1,160006.78,205958.62,New York,132294.84
34043.11,130892.09,44198.18,California,61148.1
94423.68,98156.73,153142.25,California,84047.54
158758.43,158061.81,331748.99,New York,150853.99
24032.82,155352.61,144583.81,Florida,49995.01
166476.41,118565.37,157712.76,California,177676.02
47903.14,138837.96,16485.07,New York,84825.74
76455.39,144613.79,121437.57,Florida,73075.57
62069.95,136600.07,3003.05,California,64836.85
87845.82,72975.1,1014.66,California,77706.75
85876.03,92751.84,108445.24,California,97485.7
10508.87,170805.55,119130.32,Florida,18993.34
52517.31,86089.74,145226.16,California,57897.79
90522.25,125556.13,230706.52,New York,97448.29
108131.46,111672.95,72063.11,New York,110823.02
93604.3,98221.02,22016.18,California,88975.1
38851.99,148441.4,114801.35,Florida,40563.9
90345.88,108310.83,0.0,Florida,74095.23
128873.03,95345.34,117231.58,California,140870.78
-61979.13688160116,146371.8,282186.1,California,70520.74
,183000.0,23168.25,Florida,104850.7
124818.99,,276132.38,California,132533.35
112024.81,84228.3,0.0,Florida,121552.71
,153938.25,,Florida,59699.58
88444.6,,58280.82,California,89529.03
76389.75,133568.49,224699.69,Florida,74494.86
172000.0,119667.0,246177.26,New York,184672.11
161719.51,156061.03,159131.77,Florida,159037.37
20286.09,108035.48,25379.93,California,43759.75
31097.54,99567.2,16118.52,California,47857.84
34441.6,140696.42,161972.85,Florida,34477.32
,161032.13,22257.96,Florida,97766.1
147219.81,98499.14,114643.6,Florida,145618.56
84182.36,143725.99,93678.8,New York,78981.5
20198.51,100632.28,14689.63,New York,33700.5
125428.59,113226.83,147285.15,Florida,121884.39
5137.34,102217.52,0.0,California,32765.96
61396.22,104588.28,110178.1,Florida,72217.41
139809.44,103099.95,177030.57,New York,161069.03
,113789.47,105595.7,Florida,55466.02
54180.33,109085.16,97408.33,New York,26216.99
88287.74,130593.51,204373.18,Florida,87803.75
10499.76,107743.02,104339.58,Florida,20667.98
63104.29,180086.42,0.0,Florida,68286.25
74369.18,120464.9,235054.19,California,79523.91
21284.97,106182.45,33065.0,New York,22566.28
310159.6249357408,147393.3,118178.55,California,81318.55
113619.1,149968.8,240257.36,Florida,124459.25
67026.68,90478.42,130481.55,Florida,91070.83
172000.0,103195.87,148286.53,New York,164153.75
10991.19,78800.87,110234.39,New York,35700.56
96974.13,164751.84,114272.08,California,102579.62
51034.56,122478.25,50130.17,New York,64280.34
120729.59,142408.81,78584.85,New York,118785.88
86746.26,147204.65,195848.48,Florida,96546.81
119950.32,149904.7,184389.47,Florida,98718.41
99802.29,,,Florida,107262.03
108281.5,98139.57,74106.42,California,111043.49
79157.4,113435.82,142339.67,New York,87459.51
172000.0,109673.91,123136.16,California,158213.32
112798.5,104664.48,318924.62,Florida,111903.5
24968.26,183000.0,62783.04,New York,52978.18
96535.3,86613.56,72117.92,California,116907.88
91860.85,142818.7,0.0,California,90756.44
51875.86,146375.6,94322.0,Florida,49716.47
125814.8,161256.64,130133.03,California,124773.26
82753.84,131291.49,54107.47,New York,75732.52
61910.71,93248.29,44858.04,California,63720.07
114796.24,138531.93,92784.01,Florida,111835.01
116148.48,150381.17,195450.17,New York,125724.19
118149.9,138454.58,160669.89,Florida,95638.52
51640.01,173277.09,126830.81,Florida,48358.34
82763.61,125616.91,98849.98,California,85732.75
54324.84,91047.42,0.0,California,72856.91
92920.71,127473.9,78727.49,California,93325.9
130316.86,147555.82,74141.85,California,113510.25
104813.36,103460.78,155526.51,Florida,99299.38
86726.57,104417.59,13874.68,California,94689.93
21982.3,113448.08,226835.13,New York,54844.01
75148.7,90139.81,77381.08,Florida,69017.27
33092.01,133957.41,212915.33,California,53085.43
33299.24,139880.0,0.0,Florida,30916.08
26300.9,157143.72,4767.18,Florida,34290.36
26284.58,99622.24,,California,49431.71
172000.0,164015.54,245681.08,California,154109.86
60903.48,152639.72,120828.76,New York,86817.32
134378.01,138205.57,148668.43,California,137976.42
172000.0,110883.58,269424.79,California,171866.55
61012.6,96560.54,134448.76,Florida,82003.06
75750.21,134613.19,183208.73,Florida,88955.65
106251.53,,134585.4,California,112166.75
79072.73,164312.43,149692.63,California,92741.72
52362.98,115964.73,4968.46,New York,57266.87
20302.51,,45027.75,California,34839.27
34686.44,154752.35,92734.82,California,53530.35
24214.96,94772.57,9981.7,California,43351.6
158318.02,109974.44,187892.48,New York,158837.74
88444.6,,58280.82,California,89529.03
81029.17,104531.96,48695.31,Florida,88892.07
13464.83,,90347.91,New York,32447.62
57217.06,124993.42,60633.84,New York,75286.09
85526.48,121098.34,162363.4,New York,82367.62
73653.91,131901.56,0.0,New York,84193.77
84730.04,150117.71,135964.06,California,88271.54
72505.82,-149983.6111978333,69449.24,California,94128.18
172000.0,94695.52,152805.27,New York,166314.62
26746.03,133079.22,7649.5,California,30577.12
54879.97,183000.0,58253.05,New York,71510.35
111378.12,108365.21,96436.84,Florida,106099.08
53188.41,151661.13,179799.32,Florida,57394.3
61430.33,,36849.35,California,80923.2
172000.0,167334.17,91452.22,Florida,158010.29
53690.86,108718.3,80448.44,New York,72978.68
67269.3,105841.99,117349.44,New York,80363.28
147927.5,127222.11,147981.6,California,129574.06
116081.72,164850.92,97242.28,New York,112787.43
,114083.58,88692.37,Florida,155935.45
52425.25,100515.08,0.0,California,65919.06
172000.0,123209.34,105476.31,California,162149.72
52101.57,88671.87,183629.29,California,71157.44
,132880.98,83727.41,California,44013.63
129968.52,102600.97,143426.44,Florida,125422.11
147642.3,,241722.85,New York,157127.18
115092.64,132518.18,173210.77,Florida,98948.87
21469.0,140777.24,123034.89,Florida,34578.42
115878.38,104502.75,83364.22,New York,124278.9
63156.04,134755.78,,New York,71055.7
,73829.08,75342.32,California,106755.26
9622.61,103120.25,107502.91,California,28632.25
172000.0,141997.84,27105.48,California,159582.39
33388.57,56581.52,95993.52,New York,43563.94
86754.69,134471.95,130954.77,Florida,96919.17
36801.29,116354.27,183803.06,New York,68324.77
94075.75,147449.87,59090.4,California,84701.9
75881.85,87963.53,234248.44,New York,76984.58
147904.02,131152.08,292453.34,Florida,152347.75
26767.18,80885.92,113437.33,California,39617.99
71774.41,95528.94,178063.4,New York,80397.9
76111.05,95583.57,97415.47,California,94206.52
67080.88,174840.76,181414.23,California,90534.62
83735.36,120987.84,134403.21,California,96431.29
112444.29,88153.73,11092.67,California,106699.69
43680.54,150273.82,261257.62,Florida,62927.72
72265.61,145662.64,74917.27,Florida,76312.19
39141.51,136198.32,9343.69,Florida,28923.81
47316.03,103228.14,69515.42,New York,65994.64
54717.74,123679.33,67884.68,California,64078.06
82292.48,115958.45,24072.12,Florida,93682.97
78123.54,140677.05,43262.3,New York,87389.28
49280.84,102532.51,187268.8,California,62980.42
73242.6,91051.07,165409.88,New York,87877.96
62978.61,87586.7,27173.97,New York,81984.56
94230.27,107777.88,70863.46,New York,96386.22
70441.28,141866.97,148160.59,New York,76049.09
,85872.39,189113.74,California,86253.39
71431.02,81548.18,9722.29,Florida,60252.78
114350.09,152250.89,116976.16,Florida,108762.6
,,125426.54,Florida,150590.4
,137178.45,151649.87,California,61356.47
-54859.201710515,145113.56,0.0,New York,58976.01
56580.45,151707.32,154683.65,New York,68008.49
141187.7,85760.29,140877.31,Florida,138346.31
88344.41,105167.33,82989.25,Florida,86058.95
121445.91,137348.33,,California,100479.71
103926.11,122344.15,27130.26,Florida,111940.32
172000.0,101811.67,133995.66,California,163333.63
83040.79,144184.05,164148.83,Florida,85583.47
130745.51,76905.97,204665.86,New York,133181.5
59808.28,129032.62,55127.09,New York,65245.19
172000.0,107513.57,172852.81,California,171820.48
115859.8,112288.64,178651.1,Florida,114360.85
65943.96,94386.8,84594.88,New York,83008.11
38387.49,128144.43,187632.15,California,61148.29
54458.2,150716.87,0.0,California,64346.38
42340.73,69416.38,0.0,Florida,58352.5
62061.47,,203738.38,Florida,77756.39
42355.06,97709.78,0.0,Florida,37930.01
,81719.31,165676.59,New York,81978.03
31460.72,79157.79,96074.79,Florida,51780.73
113098.08,137461.95,157189.11,California,119443.76
63452.47,51000.0,74718.88,California,69726.29
44888.45,116632.41,32565.01,Florida,63450.53
201588.36397250285,96909.67,79487.17,New York,50909.21
35176.24,154958.21,77385.69,Florida,57652.48
60733.42,122207.84,61131.54,California,74330.42
,159012.55,248646.29,New York,152398.3
62053.82,70684.25,59629.42,New York,76400.45
26844.41,147174.39,3425.679200904637,New York,44288.77
58127.65,103486.59,1886.69,New York,66645.81
172000.0,109397.0,186699.14,New York,172836.87
51094.32,133837.76,145901.83,New York,64766.97
32244.4,123667.56,28802.89,California,45015.2
65692.83,108839.6,206030.95,New York,77661.57
41881.68,158298.38,250522.29,New York,54878.63
110615.11,95047.8,225147.01,New York,109778.44
86151.68,144732.9,95135.66,Florida,70213.17
103926.11,122344.15,27130.26,Florida,111940.32
55332.83,123022.14,34850.01,New York,77054.88
58639.12,,150153.61,New York,56864.38
,134600.73,103016.71,Florida,50169.28
68462.31,91304.55,163635.82,Florida,79074.26
117661.74,132306.62,175983.9,California,123278.48
44498.94,87620.55,0.0,New York,59956.88
85900.72,138426.92,,California,88436.18
115024.36,105595.0,190781.95,New York,116731.22
84577.36,98068.15,101392.26,New York,94858.43
94642.53,183000.0,0.0,California,96428.67
71915.39,93947.11,178170.09,Florida,82467.94
172000.0,,142499.02,Florida,174255.55
55228.03,120545.42,27303.04,Florida,55869.11
61717.91,,145523.41,Florida,63733.98
