Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Weekly Study Hours,Performance Index
6,92.0,Yes,9.0,4.0,42.2,86
1,54.0,No,7.0,7.0,6.9,28
7,45.0,Yes,6.0,6.0,49.3,38
5,70.0,Yes,4.0,6.0,35.6,55
1,47.0,Yes,5.0,0.0,6.9,18
9,75.0,No,8.0,4.0,62.9,73
6,61.0,Yes,6.0,1.0,42.6,49
8,84.0,No,9.0,5.0,56.3,80
6,87.0,No,5.0,2.0,41.8,72
2,61.0,Yes,9.0,2.0,14.2,40
2,72.0,No,6.0,5.0,13.8,51
3,43.0,Yes,6.0,5.0,20.8,115
3,57.0,Yes,7.0,2.0,21.1,39
2,51.0,Yes,4.0,2.0,13.2,22
3,46.0,No,8.0,7.0,20.3,26
1,54.0,No,5.0,0.0,6.8,27
2,74.0,Yes,6.0,8.0,13.6,49
3,45.0,Yes,7.0,4.0,21.1,24
2,48.0,Yes,5.0,0.0,13.6,23
1,79.0,No,4.0,5.0,6.4,52
4,56.0,No,6.0,2.0,28.6,39
8,83.0,No,6.0,0.0,55.9,79
8,92.0,Yes,7.0,7.0,56.0,85
6,60.0,Yes,9.0,1.0,41.4,47
5,64.0,No,5.0,8.0,34.8,49
6,72.0,Yes,6.0,4.0,42.0,59
3,73.0,Yes,6.0,8.0,20.5,53
6,80.0,Yes,,1.0,42.2,68
4,91.0,No,8.0,0.0,27.8,73
9,60.0,Yes,7.0,1.0,62.9,58
3,82.0,Yes,9.0,5.0,20.8,67
8,59.0,Yes,4.0,7.0,56.7,52
7,75.0,No,8.0,6.0,49.0,66
5,81.0,No,5.0,7.0,34.6,67
1,47.0,No,8.0,7.0,7.3,20
7,98.0,Yes,7.0,5.0,48.5,88
8,64.0,No,5.0,1.0,56.1,57
9,42.0,No,4.0,4.0,62.2,36
5,55.0,Yes,4.0,5.0,34.5,39
1,41.0,No,8.0,8.0,7.1,17
6,55.0,Yes,4.0,9.0,42.3,43
1,41.0,No,4.0,3.0,7.1,12
7,51.0,No,4.0,0.0,49.0,43
9,52.0,Yes,8.0,1.0,62.9,47
9,62.0,Yes,7.0,2.0,62.4,63
1,69.0,No,6.0,6.0,6.7,40
3,58.0,Yes,8.0,7.0,20.8,37
6,78.0,Yes,5.0,,42.4,67
2,41.0,No,9.0,1.0,14.1,20
3,49.0,No,,7.0,20.3,29
7,53.0,No,5.0,3.0,49.1,-12
9,49.0,No,5.0,0.0,62.8,46
8,82.0,Yes,6.0,2.0,55.7,79
8,52.0,No,5.0,2.0,56.2,45
1,92.0,No,9.0,5.0,7.4,70
2,42.0,No,8.0,8.0,14.4,20
3,54.0,Yes,4.0,3.0,20.7,35
7,44.0,Yes,9.0,1.0,48.9,36
2,72.0,No,7.0,5.0,14.1,50
3,40.0,No,4.0,6.0,21.4,19
5,90.0,Yes,4.0,3.0,34.8,74
3,54.0,Yes,4.0,,20.9,30
2,92.0,Yes,4.0,3.0,13.6,67
6,41.0,No,5.0,9.0,41.5,34
8,47.0,No,8.0,8.0,56.3,42
7,90.0,Yes,,1.0,49.5,76
4,91.0,Yes,4.0,3.0,28.0,71
1,43.0,No,9.0,0.0,7.4,17
2,77.0,Yes,5.0,,14.1,53
5,69.0,No,9.0,7.0,34.7,57
2,70.0,Yes,7.0,9.0,14.1,49
8,75.0,No,4.0,1.0,56.6,66
5,,No,5.0,3.0,35.0,130
6,71.0,Yes,5.0,5.0,42.6,60
8,88.0,No,5.0,8.0,55.0,85
6,49.0,No,6.0,0.0,42.3,39
7,52.0,No,5.0,8.0,49.0,43
5,91.0,Yes,8.0,1.0,34.9,76
4,73.0,Yes,7.0,6.0,28.0,57
2,77.0,No,9.0,1.0,13.2,52
4,59.0,Yes,4.0,7.0,27.9,38
7,52.0,No,,2.0,49.1,43
6,68.0,No,9.0,7.0,42.6,57
3,54.0,Yes,7.0,7.0,20.8,29
2,79.0,No,9.0,0.0,13.7,58
2,70.0,Yes,7.0,8.0,13.8,54
5,91.0,Yes,4.0,8.0,35.4,75
4,65.0,No,4.0,7.0,28.1,48
1,63.0,Yes,8.0,3.0,6.8,36
6,76.0,No,8.0,2.0,42.2,64
4,83.0,Yes,4.0,6.0,28.0,64
4,98.0,No,7.0,5.0,28.4,78
6,83.0,No,7.0,4.0,41.7,73
9,93.0,Yes,7.0,9.0,62.9,93
1,69.0,Yes,4.0,0.0,6.8,39
2,94.0,Yes,9.0,1.0,13.4,72
3,52.0,Yes,9.0,1.0,21.1,33
4,41.0,No,5.0,0.0,28.1,21
8,52.0,No,7.0,1.0,56.0,48
4,98.0,Yes,4.0,,27.9,81
6,48.0,Yes,5.0,4.0,41.4,35
9,65.0,Yes,9.0,9.0,62.8,68
6,86.0,Yes,4.0,,41.9,75
9,,No,8.0,4.0,62.7,46
9,95.0,Yes,5.0,5.0,62.9,88
5,52.0,Yes,9.0,8.0,35.2,38
4,47.0,Yes,9.0,9.0,28.8,28
6,,Yes,6.0,5.0,42.1,72
8,41.0,No,8.0,5.0,56.1,37
7,99.0,No,4.0,8.0,49.0,89
6,70.0,No,7.0,3.0,41.2,57
3,49.0,No,6.0,0.0,21.0,26
4,40.0,No,9.0,1.0,28.0,22
2,55.0,Yes,7.0,0.0,15.0,30
3,41.0,No,8.0,8.0,20.9,20
3,92.0,No,4.0,4.0,21.1,70
1,40.0,No,7.0,4.0,7.0,11
1,45.0,Yes,6.0,9.0,6.5,19
2,45.0,No,4.0,0.0,14.5,20
8,53.0,Yes,4.0,3.0,56.3,43
7,54.0,Yes,8.0,9.0,49.3,47
5,62.0,No,6.0,1.0,34.6,46
9,81.0,No,7.0,6.0,63.6,78
3,45.0,No,9.0,5.0,20.4,26
3,42.0,No,9.0,5.0,21.2,25
6,59.0,Yes,6.0,6.0,42.9,47
2,50.0,No,4.0,1.0,13.6,28
9,45.0,Yes,4.0,9.0,62.8,41
3,79.0,Yes,6.0,0.0,21.0,59
8,76.0,No,9.0,4.0,55.8,72
4,99.0,Yes,4.0,4.0,27.4,82
3,83.0,Yes,4.0,2.0,21.0,63
2,59.0,Yes,6.0,2.0,13.6,35
20,90.0,Yes,,8.0,140.2,82
5,95.0,No,8.0,1.0,34.6,82
4,83.0,No,,4.0,28.6,65
5,81.0,Yes,4.0,0.0,34.7,63
3,40.0,No,4.0,7.0,20.9,17
6,74.0,No,6.0,9.0,42.3,62
1,61.0,Yes,8.0,6.0,6.5,39
4,53.0,Yes,9.0,8.0,28.1,40
7,73.0,No,4.0,0.0,49.5,61
3,69.0,No,,7.0,20.4,45
9,74.0,Yes,9.0,6.0,63.1,74
7,78.0,Yes,8.0,5.0,49.1,70
1,96.0,No,7.0,5.0,7.3,72
6,70.0,No,4.0,7.0,41.5,57
5,58.0,Yes,8.0,8.0,34.5,46
1,66.0,No,,8.0,7.2,43
3,97.0,No,6.0,4.0,21.1,75
1,66.0,Yes,6.0,3.0,7.1,122
7,67.0,Yes,8.0,7.0,49.1,60
9,73.0,Yes,5.0,0.0,62.7,67
3,97.0,No,4.0,9.0,21.1,74
2,97.0,No,9.0,5.0,14.1,78
8,87.0,No,5.0,2.0,55.7,81
5,81.0,No,4.0,6.0,35.7,67
5,,No,4.0,9.0,35.2,66
5,70.0,No,8.0,2.0,34.5,57
3,81.0,No,,0.0,21.3,62
6,48.0,No,6.0,7.0,41.6,38
1,81.0,No,5.0,7.0,7.3,55
22,57.0,Yes,5.0,1.0,154.5,48
8,41.0,Yes,4.0,4.0,55.7,32
1,,No,4.0,3.0,7.4,11
5,84.0,No,9.0,6.0,35.2,76
4,59.0,No,9.0,2.0,28.3,41
1,48.0,Yes,7.0,9.0,7.8,19
7,57.0,No,6.0,9.0,48.9,53
3,96.0,Yes,6.0,8.0,20.7,79
1,49.0,No,4.0,0.0,6.6,19
5,77.0,Yes,6.0,2.0,34.7,62
2,98.0,No,7.0,4.0,14.0,71
7,49.0,No,7.0,9.0,49.1,44
1,94.0,No,9.0,4.0,7.1,73
9,62.0,Yes,5.0,6.0,63.3,59
9,59.0,Yes,7.0,9.0,63.0,58
9,46.0,Yes,4.0,2.0,63.6,41
7,92.0,No,6.0,8.0,48.9,87
8,49.0,Yes,4.0,8.0,57.1,46
7,41.0,Yes,7.0,8.0,49.3,34
8,61.0,Yes,6.0,9.0,55.7,58
8,58.0,Yes,9.0,,55.6,49
1,53.0,No,8.0,3.0,7.2,26
7,47.0,Yes,8.0,6.0,48.9,37
5,84.0,Yes,7.0,0.0,35.3,71
2,73.0,No,,2.0,14.2,50
9,62.0,Yes,8.0,4.0,63.0,62
