hours_studied,weekly_study_hours,previous_scores,extracurricular_activities,sleep_hours,sample_question_papers_practiced,performance_index
1,7.8,54,Yes,8,5,28
1,7.6,87,Yes,7,5,64
3,21.0,84,No,6,6,61
1,6.6,92,Yes,4,6,67
4,28.4,81,Yes,7,0,65
7,49.2,93,No,6,2,84
8,56.5,62,No,5,1,53
2,14.4,90,Yes,6,9,68
9,63.6,43,Yes,9,1,38
2,13.7,86,Yes,8,3,69
9,63.8,87,No,8,9,89
7,49.1,89,No,5,5,78
5,36.2,66,No,6,8,51
7,48.6,65,Yes,9,6,57
5,36.0,69,No,6,0,57
1,7.1,69,No,8,8,44
5,34.6,45,Yes,6,0,28
3,20.7,42,Yes,6,8,21
4,27.8,41,Yes,8,7,23
5,35.3,76,Yes,6,5,62
1,7.3,49,No,6,8,24
3,20.7,82,Yes,5,1,60
9,63.0,76,No,7,2,71
5,36.3,70,No,7,4,53
4,29.0,43,Yes,6,9,25
5,35.3,86,Yes,6,3,74
4,28.0,44,Yes,9,9,28
2,14.1,46,No,9,2,24
8,56.4,68,Yes,5,1,58
3,20.4,96,No,5,5,74
1,6.8,96,No,9,5,69
7,48.0,89,Yes,4,0,79
1,7.2,94,Yes,6,3,71
8,56.4,83,No,7,8,79
5,34.7,85,No,8,9,68
8,56.9,56,Yes,5,7,51
1,6.3,76,No,5,8,50
4,27.1,83,Yes,6,3,66
5,35.1,74,Yes,7,1,59
7,49.6,67,Yes,9,6,61
1,8.0,86,No,5,4,57
5,34.7,96,No,6,2,81
6,42.6,89,No,7,7,79
2,14.0,98,No,7,9,77
7,48.9,84,No,7,0,76
6,42.5,99,Yes,5,6,85
3,21.4,99,Yes,6,8,83
3,20.1,63,No,7,9,46
7,49.9,41,Yes,6,8,34
3,21.8,64,Yes,6,0,43
7,48.6,68,Yes,7,5,60
6,42.2,68,Yes,7,2,58
3,21.3,60,Yes,8,2,38
7,49.2,65,Yes,7,0,53
2,13.7,76,Yes,4,7,51
3,20.6,65,Yes,4,0,44
5,35.0,85,No,6,1,72
6,42.7,81,No,7,2,68
7,49.3,81,No,4,5,71
1,6.8,59,Yes,7,4,31
7,49.5,88,Yes,6,8,82
1,5.3,64,No,8,7,42
4,28.7,94,Yes,8,2,73
1,6.0,91,Yes,9,5,67
5,34.8,70,No,8,0,56
7,48.3,40,No,8,2,30
5,34.2,56,Yes,8,9,45
9,63.7,45,Yes,7,4,43
7,48.7,47,Yes,5,7,38
3,21.2,91,Yes,9,8,72
8,56.0,91,No,4,5,84
2,14.3,81,No,9,2,61
2,14.0,66,No,6,9,43
8,55.2,69,Yes,4,8,63
3,21.6,90,Yes,6,2,68
8,55.7,84,Yes,5,0,76
6,41.1,58,Yes,4,5,48
4,27.7,62,No,6,7,45
6,42.9,44,No,5,1,34
5,35.5,85,Yes,5,8,70
1,6.8,56,Yes,8,5,31
2,13.8,90,Yes,7,6,64
3,20.8,52,Yes,5,7,37
8,57.2,51,No,7,8,43
7,49.2,66,No,9,8,61
1,7.3,46,No,8,1,18
8,56.6,78,Yes,6,1,74
5,35.1,80,No,6,6,67
3,20.8,67,Yes,9,0,50
2,13.9,80,Yes,4,3,59
9,63.0,70,No,8,8,69
5,35.0,97,Yes,9,9,86
2,14.4,70,No,6,0,43
7,49.0,82,No,7,4,70
7,49.4,93,No,8,7,87
9,63.0,41,Yes,8,6,38
6,42.0,73,Yes,8,1,61
5,33.8,92,No,5,9,78
2,14.5,55,Yes,6,3,29
3,21.2,63,No,6,1,42
