Hours Studied,Weekly Study Hours,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced
1,7.8,54,Yes,8,5
1,7.6,87,Yes,7,5
3,21.0,84,No,6,6
1,6.6,92,Yes,4,6
4,28.4,81,Yes,7,0
7,49.2,93,No,6,2
8,56.5,62,No,5,1
2,14.4,90,Yes,6,9
9,63.6,43,Yes,9,1
2,13.7,86,Yes,8,3
9,63.8,87,No,8,9
7,49.1,89,No,5,5
5,36.2,66,No,6,8
7,48.6,65,Yes,9,6
5,36.0,69,No,6,0
1,7.1,69,No,8,8
5,34.6,45,Yes,6,0
3,20.7,42,Yes,6,8
4,27.8,41,Yes,8,7
5,35.3,76,Yes,6,5
1,7.3,49,No,6,8
3,20.7,82,Yes,5,1
9,63.0,76,No,7,2
5,36.3,70,No,7,4
4,29.0,43,Yes,6,9
5,35.3,86,Yes,6,3
4,28.0,44,Yes,9,9
2,14.1,46,No,9,2
8,56.4,68,Yes,5,1
3,20.4,96,No,5,5
1,6.8,96,No,9,5
7,48.0,89,Yes,4,0
1,7.2,94,Yes,6,3
8,56.4,83,No,7,8
5,34.7,85,No,8,9
8,56.9,56,Yes,5,7
1,6.3,76,No,5,8
4,27.1,83,Yes,6,3
5,35.1,74,Yes,7,1
7,49.6,67,Yes,9,6
1,8.0,86,No,5,4
5,34.7,96,No,6,2
6,42.6,89,No,7,7
2,14.0,98,No,7,9
7,48.9,84,No,7,0
6,42.5,99,Yes,5,6
3,21.4,99,Yes,6,8
3,20.1,63,No,7,9
7,49.9,41,Yes,6,8
3,21.8,64,Yes,6,0
7,48.6,68,Yes,7,5
6,42.2,68,Yes,7,2
3,21.3,60,Yes,8,2
7,49.2,65,Yes,7,0
2,13.7,76,Yes,4,7
3,20.6,65,Yes,4,0
5,35.0,85,No,6,1
6,42.7,81,No,7,2
7,49.3,81,No,4,5
1,6.8,59,Yes,7,4
7,49.5,88,Yes,6,8
1,5.3,64,No,8,7
4,28.7,94,Yes,8,2
1,6.0,91,Yes,9,5
5,34.8,70,No,8,0
7,48.3,40,No,8,2
5,34.2,56,Yes,8,9
9,63.7,45,Yes,7,4
7,48.7,47,Yes,5,7
3,21.2,91,Yes,9,8
8,56.0,91,No,4,5
2,14.3,81,No,9,2
2,14.0,66,No,6,9
8,55.2,69,Yes,4,8
3,21.6,90,Yes,6,2
8,55.7,84,Yes,5,0
6,41.1,58,Yes,4,5
4,27.7,62,No,6,7
6,42.9,44,No,5,1
5,35.5,85,Yes,5,8
1,6.8,56,Yes,8,5
2,13.8,90,Yes,7,6
3,20.8,52,Yes,5,7
8,57.2,51,No,7,8
7,49.2,66,No,9,8
1,7.3,46,No,8,1
8,56.6,78,Yes,6,1
5,35.1,80,No,6,6
3,20.8,67,Yes,9,0
2,13.9,80,Yes,4,3
9,63.0,70,No,8,8
5,35.0,97,Yes,9,9
2,14.4,70,No,6,0
7,49.0,82,No,7,4
7,49.4,93,No,8,7
9,63.0,41,Yes,8,6
6,42.0,73,Yes,8,1
5,33.8,92,No,5,9
2,14.5,55,Yes,6,3
3,21.2,63,No,6,1
