이름,공부시간,점수,출석률,성별
학생1,7,83,78,여
학생2,4,68,70,여
학생3,8,87,96,여
학생4,5,70,68,여
학생5,7,78,89,남
학생6,10,95,100,여
학생7,3,64,70,여
학생8,7,91,73,여
학생9,8,86,89,여
학생10,5,72,75,여
학생11,4,57,74,남
학생12,8,86,91,남
학생13,8,85,82,여
학생14,3,67,62,남
학생15,6,78,78,남
학생16,5,62,69,남
학생17,2,39,64,남
학생18,8,82,86,남
학생19,6,77,95,남
학생20,2,54,57,남
학생21,5,74,70,여
학생22,1,35,62,남
학생23,10,100,100,여
학생24,6,76,93,남
학생25,9,97,100,여
학생26,1,50,64,남
학생27,10,100,97,여
학생28,3,64,72,남
학생29,7,83,79,여
학생30,4,67,69,여
학생31,9,88,82,여
학생32,3,52,66,남
학생33,5,59,81,여
학생34,3,50,66,남
학생35,7,86,78,남
학생36,5,65,73,남
학생37,9,97,95,여
학생38,7,90,81,여
학생39,2,53,68,남
학생40,4,68,63,남
