driver_id,avg_speed_kmh,mileage_km,night_driving_ratio,hard_brake_count,hard_accel_count,phone_usage_minutes,years_licensed,claim_filed
15699,83.85,10389.4,0.3577,6.0,5.0,14.35,16.47,0
18730,83.95,8024.9,0.407,6.0,6.0,14.57,2.34,1
19700,81.96,9528.1,0.4646,10.0,7.0,17.1,24.09,0
10978,64.29,13409.8,0.1289,3.0,2.0,5.48,14.61,0
11242,59.11,9004.0,0.2058,4.0,4.0,8.0,7.36,1
19720,72.11,9271.1,0.2763,7.0,6.0,12.33,17.29,0
18102,64.63,14894.5,0.3094,5.0,6.0,9.7,4.57,1
10225,49.2,18013.5,0.1764,3.0,1.0,9.48,36.85,0
19905,62.75,13972.8,0.0263,4.0,1.0,9.3,26.47,0
13804,76.32,10173.0,0.3126,4.0,5.0,7.73,8.89,0
15940,66.58,16414.3,0.2651,5.0,6.0,10.45,27.57,0
12275,71.46,11040.0,0.2766,4.0,5.0,14.19,2.42,1
14057,68.14,17300.5,0.1475,4.0,3.0,7.88,39.85,0
16384,80.77,13781.8,0.2942,7.0,5.0,10.01,17.84,1
15889,84.03,15429.1,0.3503,6.0,6.0,13.8,37.33,0
10666,55.51,13345.3,0.1961,4.0,2.0,6.21,16.34,0
10195,46.54,17790.3,0.0,2.0,1.0,1.23,38.4,0
17228,101.82,19569.1,0.5552,10.0,9.0,15.76,20.36,1
13509,78.79,13882.5,0.481,7.0,5.0,11.49,19.03,1
17977,56.46,8237.1,0.1827,3.0,1.0,2.5,14.9,0
13107,80.19,10653.6,0.3542,7.0,4.0,8.25,6.72,1
19834,48.44,11502.1,0.063,2.0,1.0,5.73,2.85,1
10776,55.48,8745.3,0.1573,6.0,2.0,9.61,7.15,0
10337,-38.2,122811.3,0.795,237.9,-2.6,398.5,75.12,1
19705,85.43,12055.8,0.3596,7.0,6.0,15.03,17.39,0
16070,85.58,13521.4,0.3508,7.0,5.0,12.87,21.84,0
18028,54.68,8529.3,0.1685,2.0,2.0,8.45,5.83,1
14961,54.14,17869.7,0.0601,2.0,2.0,7.03,32.43,0
19937,62.09,8302.4,0.4334,3.0,5.0,8.67,5.37,0
16295,63.97,8391.4,0.2728,4.0,4.0,11.79,2.91,1
17819,70.89,15308.0,0.2893,6.0,5.0,13.41,12.41,1
19424,91.56,16990.5,0.4777,12.0,7.0,22.06,30.43,0
19532,70.54,11031.9,0.3122,4.0,3.0,9.56,8.72,1
11691,42.63,6892.9,0.066,3.0,1.0,0.9,6.23,0
13348,94.41,16132.7,0.4985,10.0,8.0,17.83,36.85,0
19121,85.06,13122.1,0.392,6.0,6.0,11.27,17.9,1
11257,69.08,6424.0,0.4544,8.0,6.0,15.14,2.84,1
12427,84.15,13788.1,0.3945,6.0,6.0,15.79,3.99,1
18091,53.62,12559.8,0.1183,2.0,1.0,0.63,17.59,0
14582,366.43,148347.3,0.2547,224.4,-11.8,66.03,93.17,1
16468,41.98,13837.5,0.0,1.0,0.0,2.47,18.37,0
19506,83.52,16397.8,0.409,8.0,7.0,14.37,35.28,0
14419,52.1,11666.6,0.2134,1.0,1.0,2.02,3.22,0
13521,71.04,17998.7,0.1376,2.0,1.0,10.58,39.64,0
16550,62.22,10417.7,0.1889,2.0,1.0,5.84,20.65,0
11295,50.62,13150.0,0.0932,1.0,1.0,3.78,29.13,0
19396,76.69,12340.3,0.4126,6.0,5.0,14.57,37.11,0
10744,41.11,16465.4,0.0,1.0,0.0,0.0,39.98,0
12701,95.84,10479.8,0.639,10.0,8.0,16.48,35.17,0
19333,55.36,17713.0,0.1983,4.0,2.0,3.06,13.54,0
17933,92.65,16828.3,0.476,11.0,10.0,26.4,24.89,1
16030,52.49,16126.8,0.1325,2.0,3.0,8.57,35.14,0
12153,79.31,12898.9,0.3721,7.0,7.0,9.05,24.74,0
17628,96.44,16725.6,0.6555,12.0,10.0,23.06,36.58,1
18886,84.97,9797.6,0.5258,9.0,10.0,17.22,13.94,0
10503,37.04,13273.5,0.0258,2.0,2.0,1.15,6.27,0
10176,86.26,21102.5,0.3562,7.0,5.0,10.35,33.69,0
