driver_id,avg_speed_kmh,mileage_km,night_driving_ratio,hard_brake_count,hard_accel_count,phone_usage_minutes,years_licensed,claim_filed
90140,50.14,19448.4,0.1851,3.0,1.0,7.91,34.43,0
90012,75.59,14195.2,0.4913,5.0,4.0,13.51,25.51,0
90400,43.91,11790.6,0.0628,0.0,0.0,0.0,13.53,0
90269,90.37,15939.5,0.4915,8.0,8.0,20.74,26.58,0
90006,79.93,6876.2,0.372,5.0,7.0,15.62,14.19,0
90164,68.38,13872.1,0.1768,3.0,4.0,8.17,27.08,0
90098,65.85,8964.2,0.3014,4.0,2.0,10.18,6.01,1
90419,75.2,12924.4,0.4187,6.0,4.0,7.44,11.92,0
90105,67.79,8357.3,0.2464,6.0,3.0,7.95,2.28,1
90343,72.41,11799.7,0.349,5.0,4.0,9.45,4.27,1
90271,76.99,13497.8,0.3741,7.0,7.0,13.72,22.64,0
90290,81.92,13346.2,0.2457,8.0,4.0,17.8,10.04,1
90165,72.92,19193.8,0.2318,4.0,4.0,10.44,21.13,0
90435,69.44,18774.1,0.2046,4.0,5.0,10.47,26.72,0
90474,69.4,19148.4,0.2861,5.0,5.0,7.52,35.37,0
90037,63.62,15128.2,0.2317,3.0,5.0,6.34,14.85,0
90275,69.53,11039.4,0.1677,6.0,3.0,5.94,13.43,0
90352,71.23,9984.7,0.3519,6.0,5.0,18.72,13.23,1
90329,89.82,8116.3,0.3865,9.0,7.0,19.09,5.6,0
90115,51.15,15399.5,0.0436,1.0,0.0,3.15,26.86,0
90174,59.35,19936.1,0.1586,4.0,2.0,10.56,32.97,0
90284,75.48,11454.9,0.3772,7.0,6.0,15.06,19.45,0
90003,57.44,15181.9,0.2998,5.0,4.0,5.26,22.77,0
90408,61.3,14325.7,0.223,5.0,3.0,10.82,38.38,1
90339,69.76,12175.8,0.3248,6.0,6.0,15.11,28.26,0
90026,91.85,17756.5,0.527,11.0,8.0,19.03,30.06,1
90254,56.66,15135.1,0.1976,4.0,4.0,7.45,35.69,0
90456,85.63,9282.9,0.4362,8.0,7.0,17.27,9.42,1
90268,55.01,19737.1,0.0877,2.0,2.0,0.14,26.36,0
90263,71.32,15547.6,0.2906,4.0,5.0,9.5,28.98,1
90360,49.25,16335.1,0.0511,2.0,0.0,3.97,33.85,0
90328,84.59,11595.7,0.4586,7.0,7.0,15.56,14.41,1
90094,74.89,16168.2,0.3631,8.0,7.0,15.68,27.86,0
90309,84.75,12636.2,0.5343,11.0,7.0,18.42,24.57,0
90176,56.32,12875.6,0.125,4.0,3.0,6.08,16.97,0
90087,89.32,12809.2,0.4033,7.0,6.0,12.63,4.97,1
90133,61.33,11447.6,0.1588,2.0,1.0,1.53,14.77,0
90299,72.46,11539.6,0.1489,4.0,4.0,7.97,38.58,0
90452,89.57,9440.5,0.276,7.0,4.0,13.52,9.44,0
90106,74.97,12115.2,0.376,7.0,6.0,12.65,5.43,1
90062,-50.68,16444.7,0.2749,289.4,109.0,261.67,25.02,0
90050,65.77,10995.4,0.1577,2.0,3.0,9.23,4.94,0
90158,61.3,15081.1,0.125,2.0,2.0,7.57,11.42,0
90224,102.98,14467.0,0.3082,7.0,8.0,17.04,36.66,0
90256,93.54,15152.3,0.3393,8.0,5.0,13.11,13.43,1
90090,85.95,14771.4,0.3995,7.0,5.0,14.24,23.85,0
90204,61.33,12958.3,0.1588,2.0,1.0,1.53,10.31,1
90277,47.28,64663.6,-0.4887,32.4,-35.9,157.66,19.38,0
90411,99.11,12546.5,0.6187,10.0,11.0,22.03,5.98,1
90055,118.31,16579.0,0.7075,13.0,11.0,22.92,31.8,1
90265,92.2,17619.7,0.5565,9.0,8.0,18.8,17.49,1
90205,73.6,11266.3,0.3877,6.0,7.0,13.94,8.16,1
90366,59.96,13292.5,0.0489,3.0,1.0,2.89,30.57,0
90234,86.08,11967.6,0.4804,8.0,5.0,13.18,22.62,0
90170,69.42,13993.3,0.1534,4.0,3.0,7.48,18.09,0
90432,467.45,26272.6,1.487,214.3,293.5,355.17,78.18,0
